---------------------------------------------------------------------------------------------------------------
| 16 19  | 10 11  |  8 20  | 14  1  |  7 18  | 15  9  | 17  2  | 12 13  |  3  6  |  4  5  |
|  9 14  | 19  4  | 11 13  |  3 12  | 15 20  |  5  6  | 10 16  |  8 17  |  2 18  |  1  7  |
|  3  2  | 16  9  |  7  6  |  8 13  |  1 12  | 14 17  | 11  5  | 10 20  | 15  4  | 18 19  |
| 18 20  |  8 12  |  4 19  | 10 11  | 14  2  | 16  7  |  9 15  |  5  3  |  1 17  |  6 13  |
|  7  6  |  2  5  | 18 16  |  4 17  | 11  8  | 12 20  | 14  1  | 15  9  | 19 13  |  3 10  |
| 17  1  |  7 20  |  2 15  |  5  9  |  3 13  |  4 11  | 12 18  | 19  6  | 10 14  | 16  8  |
| 15 11  | 18 14  |  9  1  | 16  6  | 10 17  |  8  3  | 19 13  |  4  2  |  5  7  | 20 12  |
| 13  8  |  3 15  | 17  5  | 18  2  | 16  6  | 10 19  |  7  4  | 11  1  | 12 20  | 14  9  |
|  5 12  | 17  6  |  3 10  | 15  7  |  4 19  |  1 13  |  8 20  | 14 18  |  9 16  |  2 11  |
| 10  4  | 13  1  | 14 12  | 19 20  |  9  5  |  2 18  |  6  3  |  7 16  |  8 11  | 17 15  |
---------------------------------------------------------------------------------------------------------------
| 19 15  |  6 10  |  1  3  | 11  5  | 18  7  | 17  8  |  4 12  | 16 14  | 20  9  | 13  2  |
|  2  7  |  5 16  | 20 11  |  1 14  | 17  9  | 18 15  |  3  8  | 13 10  |  6 19  | 12  4  |
|  6  3  | 15  2  | 16 14  |  7 18  |  5 11  |  9  1  | 13 10  | 20 12  |  4  8  | 19 17  |
| 11 17  | 14 19  |  6  7  | 12  8  | 13  4  |  3  5  |  1  9  | 18 15  | 16  2  | 10 20  |
|  8 13  |  4 17  | 19  2  | 20  3  | 12 14  | 11 16  | 15  7  |  1  5  | 18 10  |  9  6  |
| 14 16  |  1  3  | 13 17  |  6 19  |  8 15  | 20 10  |  2 11  |  9  4  |  7 12  |  5 18  |
| 20  5  | 11  7  | 15  9  | 13  4  |  2 10  |  6 12  | 18 17  |  3 19  | 14  1  |  8 16  |
| 12 18  |  9 13  | 10  4  |  2 15  | 20  1  | 19 14  | 16  6  | 17  8  | 11  5  |  7  3  |
|  4  9  | 12 18  |  5  8  | 17 10  | 19 16  |  7  2  | 20 14  |  6 11  | 13  3  | 15  1  |
|  1 10  | 20  8  | 12 18  |  9 16  |  6  3  | 13  4  |  5 19  |  2  7  | 17 15  | 11 14  |
---------------------------------------------------------------------------------------------------------------
