---------------------------------------------------------------------------------------------------------------
| 13  7  | 14 19  | 17 16  | 12  8  |  4 10  | 18 11  | 15 20  |  5  9  |  3  1  |  2  6  |
|  5 16  |  7 17  | 11 18  | 14 15  |  9 12  |  4 13  | 19  8  |  6  1  | 10  2  |  3 20  |
| 12  9  |  8  3  | 15  6  | 16 17  | 11  2  |  5 10  | 18 14  | 19  7  | 20 13  |  4  1  |
| 18 17  |  2 10  | 19 14  |  6  9  |  8  3  | 16 12  |  4  1  | 20 13  |  7 11  | 15  5  |
| 15 20  |  4 18  |  3  5  |  2 13  | 17  6  |  8  1  |  7 10  | 11 14  |  9 16  | 12 19  |
|  2  8  |  9 11  |  7 12  |  5 18  | 15  1  |  6 20  |  3 13  |  4 10  | 14 19  | 16 17  |
| 19  1  |  5 15  |  2 13  | 11 20  | 14 18  | 17  9  | 12 16  |  8  3  |  4  6  | 10  7  |
| 11  6  |  1 20  |  9  8  |  4 10  | 13 19  |  3  7  | 17  5  | 16  2  | 12 15  | 14 18  |
|  3 14  | 12 13  |  4 10  |  7  1  | 16 20  | 15 19  |  6  2  | 17 18  |  8  5  |  9 11  |
|  4 10  | 16  6  | 20  1  |  3 19  |  7  5  |  2 14  |  9 11  | 12 15  | 18 17  |  8 13  |
---------------------------------------------------------------------------------------------------------------
|  1  2  | 17 16  |  6  7  |  8  5  | 19 15  | 12 18  | 14  9  | 13  4  | 11 10  | 20  3  |
|  7  5  | 10  9  | 14 17  | 20 16  |  1 11  | 13  4  |  2  6  | 18  8  | 15  3  | 19 12  |
|  6  4  | 18  1  |  5  2  | 13  7  | 12 16  | 11 15  |  8  3  | 10 20  | 19 14  | 17  9  |
| 17 19  | 11  4  | 18 20  | 15  2  |  6 13  |  1  8  | 10 12  |  3  5  | 16  9  |  7 14  |
| 14 15  |  6  8  |  1 19  | 18 11  | 20  9  |  7  3  | 16 17  |  2 12  |  5  4  | 13 10  |
|  8 12  | 15 14  | 10  4  |  9  6  |  3 17  | 20  2  | 13 19  |  7 11  |  1 18  |  5 16  |
| 20 11  |  3 12  | 16 15  | 10 14  |  5  8  | 19  6  |  1  4  |  9 17  | 13  7  | 18  2  |
| 10 13  | 19  5  | 12 11  | 17  3  | 18  4  |  9 16  | 20  7  | 14  6  |  2  8  |  1 15  |
|  9 18  | 13  7  |  8  3  | 19 12  |  2 14  | 10 17  |  5 15  |  1 16  |  6 20  | 11  4  |
| 16  3  | 20  2  | 13  9  |  1  4  | 10  7  | 14  5  | 11 18  | 15 19  | 17 12  |  6  8  |
---------------------------------------------------------------------------------------------------------------
