---------------------------------------------------------------------------------------------------------------
| 17 15  | 11  8  | 16  7  | 10 12  | 19  4  | 18  9  |  3 13  | 20  5  |  6 14  |  1  2  |
| 12  7  | 17  5  | 11  8  | 13  4  |  3 18  |  1 20  |  9 14  |  2 16  | 15 19  | 10  6  |
| 14  8  |  2  9  | 17 20  |  6 18  | 12 10  |  5 16  |  7 15  |  3 13  |  4  1  | 19 11  |
| 10  1  |  7 18  | 15 12  | 11 17  |  2 20  |  6 13  | 19 16  |  9  4  |  5  8  | 14  3  |
|  2  6  | 20  1  |  9  3  |  8 16  | 11 13  |  4 12  | 10 17  | 19 14  |  7 18  |  5 15  |
|  4 19  | 12 16  |  1  2  |  7  3  |  8  9  | 11 14  |  5 20  | 15  6  | 13 10  | 18 17  |
| 20 11  |  4 19  | 10 18  | 15  1  | 14  5  |  3  7  |  6 12  | 17  8  |  9  2  | 13 16  |
|  9 18  | 15  6  |  5 13  |  2 14  | 16  7  | 10 19  |  4 11  | 12  1  |  3 17  | 20  8  |
|  5 13  | 10  3  |  6 14  |  9 19  |  1 15  |  8 17  | 18  2  | 11  7  | 16 20  |  4 12  |
| 16  3  | 13 14  | 19  4  | 20  5  |  6 17  | 15  2  |  1  8  | 18 10  | 12 11  |  7  9  |
---------------------------------------------------------------------------------------------------------------
|  8 10  |  5 12  |  3  9  | 19  2  |  4  1  | 20  6  | 13  7  | 16 18  | 11 15  | 17 14  |
| 15 14  | 18 10  |  7  1  |  3  9  |  5 12  | 13  4  | 17  6  |  8 19  |  2 16  | 11 20  |
| 13  5  | 19  7  |  8 11  | 12 10  |  9 14  |  2  3  | 15  1  |  4 20  | 17  6  | 16 18  |
|  1 16  |  6 13  |  2 17  | 18  7  | 10 19  | 12  5  | 20  3  | 14 11  |  8  9  | 15  4  |
|  7 12  | 14 15  | 13 10  |  1  6  | 17 16  |  9 11  |  2 18  |  5  3  | 20  4  |  8 19  |
| 11 20  | 16  2  | 14 15  | 17 13  |  7  3  | 19  1  |  8  4  |  6  9  | 18  5  | 12 10  |
|  6 17  |  8 20  | 12 16  |  4 15  | 13 11  |  7 18  | 14  5  | 10  2  | 19  3  |  9  1  |
|  3  4  |  9 11  | 18  5  | 14  8  | 20  2  | 17 10  | 16 19  | 13 15  |  1 12  |  6  7  |
| 18  9  |  3 17  |  4 19  |  5 20  | 15  6  | 16  8  | 11 10  |  1 12  | 14  7  |  2 13  |
| 19  2  |  1  4  | 20  6  | 16 11  | 18  8  | 14 15  | 12  9  |  7 17  | 10 13  |  3  5  |
---------------------------------------------------------------------------------------------------------------
