---------------------------------------------------------------------------------------------------------------
| 12  6  | 13  9  |  4 11  |  2  1  |  3 18  | 19  5  | 15  8  | 20 16  | 17 10  | 14  7  |
| 10 16  |  2 11  |  9  1  |  4  8  |  7 19  | 14 18  |  6 20  | 15 13  | 12  5  | 17  3  |
| 18 13  |  8  6  | 15 10  |  9 11  |  1  2  |  4 17  |  3 19  |  5 14  | 20  7  | 12 16  |
|  3  5  | 16 18  |  6 13  | 10  7  |  9  4  |  1 11  | 14 17  |  8 12  | 15 19  | 20  2  |
| 20 14  | 17  3  |  2  8  | 13 16  | 11  6  |  9  7  |  4 12  | 10 19  |  1 18  |  5 15  |
|  4 17  |  5 14  | 16  3  |  6 18  | 10 15  | 20 12  |  9  7  | 11  1  |  8  2  | 19 13  |
| 19 11  | 20 12  | 14 17  |  3  5  | 16  8  | 10 15  | 18  1  |  7  2  |  4 13  |  9  6  |
|  1  7  | 15 19  |  5 18  | 14 17  | 12 20  |  8  6  |  2 13  |  4  9  |  3 16  | 10 11  |
|  9  2  |  4  7  | 19 12  | 15 20  | 14 17  | 16 13  | 10  5  | 18  3  | 11  6  |  8  1  |
|  8 15  | 10  1  | 20  7  | 12 19  | 13  5  |  2  3  | 11 16  |  6 17  |  9 14  |  4 18  |
---------------------------------------------------------------------------------------------------------------
|  7  3  |  1  4  |  8  2  |  5 12  | 17 11  | 18 16  | 20  6  | 13 10  | 14  9  | 15 19  |
| 17 10  | 12  5  | 18  9  |  1 15  | 20  7  | 11  4  | 13 14  | 16  6  | 19  3  |  2  8  |
| 16 12  | 18 15  |  3  5  | 20  4  |  8 10  | 17  9  | 19 11  |  2  7  |  6  1  | 13 14  |
| 14 18  |  3 20  |  7  6  | 11  2  |  5  9  | 15  8  |  1 10  | 19  4  | 13 12  | 16 17  |
| 13 19  | 11  2  | 10 15  |  7  9  | 18 14  |  6 20  |  5  3  | 12  8  | 16 17  |  1  4  |
|  2  1  |  6 16  | 11  4  |  8 10  | 15  3  | 13 19  | 17  9  | 14  5  |  7 20  | 18 12  |
|  6  9  | 19 13  | 12 16  | 18 14  |  2  1  |  3 10  |  8  4  | 17 11  |  5 15  |  7 20  |
| 11 20  |  9 17  |  1 19  | 16 13  |  4 12  |  5 14  |  7 18  |  3 15  |  2  8  |  6 10  |
|  5  8  |  7 10  | 17 14  | 19  3  |  6 13  | 12  2  | 16 15  |  1 20  | 18  4  | 11  9  |
| 15  4  | 14  8  | 13 20  | 17  6  | 19 16  |  7  1  | 12  2  |  9 18  | 10 11  |  3  5  |
---------------------------------------------------------------------------------------------------------------
