---------------------------------------------------------------------------------------------------------------
| 11 19  |  8  6  |  5  2  | 16 14  | 10 13  |  4  1  | 15  9  | 12 20  |  7  3  | 18 17  |
| 10 17  | 14 11  | 19  4  |  3  9  | 20  6  | 13 16  | 18  8  |  2  5  |  1 15  | 12  7  |
| 20 13  |  9  2  | 14 18  |  6 10  |  3 15  |  8  5  |  4 11  | 17  7  | 12 16  |  1 19  |
|  7  4  | 13 12  |  9 11  |  2 19  | 14 18  | 20 10  |  3 17  | 15  1  |  5  6  | 16  8  |
|  9 15  | 18  7  |  8  3  |  1  4  | 19 17  | 14  2  | 10 12  | 11 16  | 20 13  |  5  6  |
| 18  5  | 19 15  | 13  7  | 11  8  |  9 12  |  6  3  | 16  1  |  4 10  | 17 14  |  2 20  |
| 14 12  | 17 20  |  1 16  |  7 13  | 11  4  |  9 19  |  2  5  |  3  6  | 18  8  | 15 10  |
|  8  6  |  4 10  | 20 12  |  5 18  |  1 16  | 15 17  | 13  7  |  9 19  | 11  2  |  3 14  |
| 16  3  |  5  1  | 15  6  | 20 17  |  8  2  | 12  7  | 14 19  | 13 18  |  4 10  | 11  9  |
|  2  1  |  3 16  | 17 10  | 15 12  |  5  7  | 18 11  | 20  6  |  8 14  | 19  9  |  4 13  |
---------------------------------------------------------------------------------------------------------------
|  4 14  | 12 13  | 16 17  | 18  7  |  2  5  | 11 20  | 19  3  |  6  8  |  9  1  | 10 15  |
|  5  2  | 15  8  |  6 13  | 12 16  | 17 20  | 10  9  | 11 14  | 19  4  |  3 18  |  7  1  |
| 19 18  |  6 14  |  4 15  | 13  1  | 16 11  | 17 12  |  7 20  | 10  3  |  8  5  |  9  2  |
| 12  7  | 20 17  | 10 19  |  9  6  | 13  1  | 16 18  |  8  4  |  5 15  |  2 11  | 14  3  |
|  3  8  | 16 19  | 12  9  |  4 11  |  6 14  |  1 13  | 17 15  | 18  2  | 10  7  | 20  5  |
|  1 20  |  7 18  |  3 14  | 17  5  | 15  8  |  2  6  |  9 10  | 16 11  | 13 12  | 19  4  |
| 15 10  |  2  3  | 18  1  | 14 20  | 12  9  |  5  4  |  6 13  |  7 17  | 16 19  |  8 11  |
| 17 11  | 10  4  |  2  8  | 19 15  | 18  3  |  7 14  |  5 16  |  1  9  |  6 20  | 13 12  |
|  6  9  |  1  5  | 11 20  | 10  2  |  7 19  |  3  8  | 12 18  | 14 13  | 15  4  | 17 16  |
| 13 16  | 11  9  |  7  5  |  8  3  |  4 10  | 19 15  |  1  2  | 20 12  | 14 17  |  6 18  |
---------------------------------------------------------------------------------------------------------------
