---------------------------------------------------------------------------------------------------------------
| 15 14  | 20 11  |  9  1  |  7 17  |  8  3  | 13 16  |  6  4  | 18  5  | 10 12  |  2 19  |
|  3 17  |  8 18  | 13 10  |  6  9  | 19 16  |  1 15  | 12 11  | 20  2  |  7  5  | 14  4  |
| 20  4  | 15 17  |  5 12  | 11  1  | 18  7  |  8  6  | 16 13  |  9 19  |  2 14  |  3 10  |
| 16  7  |  3 14  | 20 19  |  4 10  | 13 17  |  5  9  |  1  2  | 12 11  | 18 15  |  6  8  |
|  9  6  | 10 19  | 14 11  | 20  8  |  1 12  | 17  2  |  5 18  | 16 13  |  3  4  | 15  7  |
| 18 10  |  4 13  |  8 16  | 19 15  | 20  2  | 12 11  | 17 14  |  3  7  |  9  6  |  5  1  |
|  5 13  |  6  1  | 15 17  | 18  2  | 11  9  |  3  7  | 20 10  |  4 14  |  8 19  | 12 16  |
|  8 11  | 12  5  | 18  2  | 16 13  | 15  4  | 14 19  |  7  3  |  6 10  |  1 20  |  9 17  |
|  1 19  |  7  2  |  4  6  | 12  3  |  5 14  | 20 10  |  8  9  | 17 15  | 13 16  | 18 11  |
|  2 12  |  9 16  |  3  7  |  5 14  | 10  6  | 18  4  | 15 19  |  8  1  | 17 11  | 20 13  |
---------------------------------------------------------------------------------------------------------------
|  6 16  | 17 15  | 19  8  |  9 11  |  3  1  | 10 20  |  2  7  | 13 12  | 14 18  |  4  5  |
| 13  3  |  5  9  | 11 15  |  1  6  | 16 19  |  2  8  | 10 20  | 14  4  | 12 17  |  7 18  |
| 11  9  | 18  8  |  1 13  | 17 19  |  2  5  |  4  3  | 14 15  | 10 20  |  6  7  | 16 12  |
|  4 18  | 16 12  | 10  9  | 13  7  |  6 11  | 19 14  |  3  8  |  5 17  | 20  2  |  1 15  |
| 19 15  | 11  3  | 16  5  | 10 18  |  9 20  |  7 17  | 13 12  |  2  6  |  4  1  |  8 14  |
| 17  5  | 13  6  |  7 18  |  3 20  | 14 10  | 16 12  |  4  1  | 15  8  | 11  9  | 19  2  |
| 10  8  |  2  4  | 12  3  | 14 16  | 17 15  |  9  1  | 19  6  |  7 18  |  5 13  | 11 20  |
| 12  1  | 19 20  |  2 14  |  8  4  |  7 13  | 15 18  |  9  5  | 11  3  | 16 10  | 17  6  |
|  7  2  | 14 10  | 17 20  | 15 12  |  4 18  |  6  5  | 11 16  |  1  9  | 19  8  | 13  3  |
| 14 20  |  1  7  |  6  4  |  2  5  | 12  8  | 11 13  | 18 17  | 19 16  | 15  3  | 10  9  |
---------------------------------------------------------------------------------------------------------------
