---------------------------------------------------------------------------------------------------------------
|  2  7  | 17 10  | 12  9  | 20  6  | 16 19  | 14  5  |  8  1  | 18  3  | 11  4  | 13 15  |
|  3 20  |  7 15  | 10 18  | 12  5  |  6  1  | 16 19  | 14  9  | 13  4  |  2  8  | 17 11  |
| 17  4  | 12  3  | 14  8  | 10 18  | 20  9  | 13  2  | 16 15  |  1 11  |  7  6  |  5 19  |
| 16 11  |  2 18  |  7 13  |  8 14  | 10  4  |  9 20  | 19  3  |  6 17  | 15  5  |  1 12  |
|  1 15  | 11  6  |  3 17  |  7  9  | 18 14  | 10  4  | 20 13  | 19  5  | 12 16  |  8  2  |
| 10 19  |  9 20  |  6 15  | 13 17  | 12  7  | 18  8  |  5 11  | 14  2  |  1  3  |  4 16  |
|  8 13  | 19  4  |  2 20  |  1 16  | 17  5  |  3 11  | 18 10  | 12 15  | 14  9  |  6  7  |
|  6  5  | 13 16  |  4 11  |  3  2  | 15  8  |  7  1  | 17 12  |  9 20  | 10 19  | 14 18  |
|  9 18  |  8 14  |  1  5  | 15 19  |  3 11  | 12  6  |  2  4  | 16  7  | 13 17  | 10 20  |
| 12 14  |  1  5  | 19 16  |  4 11  | 13  2  | 17 15  |  6  7  |  8 10  | 20 18  |  9  3  |
---------------------------------------------------------------------------------------------------------------
| 14  9  | 15  2  | 11  3  | 19  1  |  5  6  |  4 10  | 12 17  |  7 16  |  8 20  | 18 13  |
| 20  3  | 14  7  | 13  4  | 11  8  | 19 12  |  6  9  |  1  2  | 15 18  |  5 10  | 16 17  |
|  5 17  |  4 11  | 15 10  | 16 20  |  1  3  | 19 12  |  9  8  |  2  6  | 18 13  |  7 14  |
| 15 12  |  3  9  | 20  6  | 14 13  | 11 17  |  2 18  |  4  5  | 10  1  | 16  7  | 19  8  |
|  4  8  | 10 12  |  9  7  |  2  3  | 14 13  | 11 16  | 15 18  |  5 19  | 17  1  | 20  6  |
| 18 10  |  6  8  |  5 12  |  9  7  |  2 20  |  1  3  | 11 16  | 17 13  | 19 14  | 15  4  |
| 11 16  |  5 17  |  8  1  |  6 10  |  4 18  | 15 13  |  7 19  | 20 14  |  3  2  | 12  9  |
| 19  1  | 20 13  | 17 14  | 18  4  |  8 16  |  5  7  |  3  6  | 11 12  |  9 15  |  2 10  |
| 13  2  | 16  1  | 18 19  | 17 12  |  7 15  |  8 14  | 10 20  |  4  9  |  6 11  |  3  5  |
|  7  6  | 18 19  | 16  2  |  5 15  |  9 10  | 20 17  | 13 14  |  3  8  |  4 12  | 11  1  |
---------------------------------------------------------------------------------------------------------------
