---------------------------------------------------------------------------------------------------------------
|  2  9  | 17 18  | 11 10  |  1 15  |  8  5  |  6 16  |  4 19  | 13 20  | 12 14  |  3  7  |
| 15 14  | 11  6  | 20 16  | 19  7  | 13 10  |  2  1  | 12  9  |  4  3  | 18 17  |  5  8  |
| 18  1  | 14  9  |  2 19  |  5 16  |  4  3  | 10  8  |  6 15  | 12 11  | 13  7  | 20 17  |
|  8  6  | 16  7  | 12  4  | 10 11  | 15 20  |  3 13  |  5 14  | 19 17  |  1  2  |  9 18  |
| 17 13  | 10 12  |  9 15  | 20  8  | 16  2  | 11 18  |  3  7  |  6 14  |  4  5  |  1 19  |
|  7  3  | 13  2  | 14  6  |  9 12  |  1 11  | 20  5  | 16 17  | 10 18  | 19  8  |  4 15  |
|  4 12  | 15  5  | 13 18  |  2  3  |  9 19  |  7 17  | 20 11  |  8  1  |  6 10  | 14 16  |
| 11 19  |  8  1  | 17  3  | 18 13  | 14  7  |  4 15  |  2 10  |  5 16  | 20  9  |  6 12  |
|  5 10  | 19 20  |  8  1  |  4 14  |  6 17  |  9 12  | 13 18  | 15  7  | 16  3  | 11  2  |
| 16 20  |  3  4  |  7  5  |  6 17  | 18 12  | 19 14  |  8  1  |  2  9  | 15 11  | 10 13  |
---------------------------------------------------------------------------------------------------------------
| 19 11  | 18 16  |  6  9  |  7 20  |  3 13  |  5 10  |  1  8  | 14  2  | 17 15  | 12  4  |
|  9  7  |  1  3  | 18 11  | 16  6  | 10 15  | 13  2  | 19 12  | 20  5  |  8  4  | 17 14  |
|  3  4  |  5 19  | 16 17  |  8  9  |  7  6  | 15 11  | 10 13  |  1 12  | 14 18  |  2 20  |
| 13 17  |  4 15  | 19  2  |  3  5  | 20  1  | 18  7  | 14  6  | 16 10  |  9 12  |  8 11  |
|  6 18  | 12 13  | 10  8  | 17 19  |  2 14  |  1  3  | 11 20  |  9  4  |  7 16  | 15  5  |
| 12 15  |  6 10  |  5 20  | 11 18  | 19 16  | 14  4  |  7  2  | 17  8  |  3  1  | 13  9  |
| 14  5  |  2  8  |  3 12  | 15  4  | 11 18  | 17 20  |  9 16  |  7  6  | 10 13  | 19  1  |
| 20  2  |  7 17  |  4 14  | 12  1  |  5  9  |  8 19  | 15  3  | 18 13  | 11  6  | 16 10  |
|  1  8  |  9 14  | 15  7  | 13 10  | 12  4  | 16  6  | 17  5  | 11 19  |  2 20  | 18  3  |
| 10 16  | 20 11  |  1 13  | 14  2  | 17  8  | 12  9  | 18  4  |  3 15  |  5 19  |  7  6  |
---------------------------------------------------------------------------------------------------------------
