---------------------------------------------------------------------------------------------------------------
|  9  3  |  1  2  | 14  8  | 12 20  | 16 18  | 17 13  | 19 10  | 11  6  | 15  5  |  7  4  |
| 20 13  |  4 17  |  3  2  | 14  7  | 10  1  | 16  5  | 11  9  | 12  8  |  6 19  | 15 18  |
|  2 17  |  3  8  |  6 16  | 10  9  | 20 14  |  1 11  | 13  7  |  5 15  | 18  4  | 12 19  |
|  7 10  |  5 13  | 15 12  |  3  2  | 11  4  | 14  8  | 16 18  | 19  1  | 17  9  |  6 20  |
| 16 15  |  6 12  | 13  5  |  8  4  |  2 19  | 10  3  | 17 20  |  9 18  | 11  7  | 14  1  |
| 11 14  |  7  9  | 17 19  |  5 16  | 15  8  |  2 18  |  4  6  | 20 13  | 12  1  |  3 10  |
|  1  5  | 11 15  |  7  4  | 19 18  | 17  3  | 20  6  | 12  8  | 16 10  | 13 14  |  2  9  |
| 19  6  | 18 20  |  9 11  | 17 15  | 12  5  |  4  7  |  2  1  | 14  3  |  8 10  | 13 16  |
|  8  4  | 14 10  |  1 18  | 11 13  |  9  6  | 12 19  |  3 15  |  2  7  | 16 20  |  5 17  |
| 12 18  | 19 16  | 20 10  |  1  6  | 13  7  | 15  9  | 14  5  | 17  4  |  2  3  |  8 11  |
---------------------------------------------------------------------------------------------------------------
| 10 20  |  9  1  | 11 17  |  2  8  |  6 13  |  5 15  |  7 14  |  4 16  |  3 18  | 19 12  |
| 14  2  | 20 19  | 16  9  | 15 17  |  3 11  | 18  1  | 10 12  | 13  5  |  7  6  |  4  8  |
| 13  1  | 17  5  | 10 20  |  9  3  |  8 12  | 19  4  | 18 11  |  7  2  | 14 15  | 16  6  |
| 15  7  | 16  6  | 18  1  | 20 11  |  4  9  |  8 10  |  5  2  |  3 12  | 19 13  | 17 14  |
|  6  9  | 15  7  | 19  3  |  4  1  |  5 17  | 13 20  |  8 16  | 18 14  | 10 12  | 11  2  |
|  3 16  | 12  4  |  8  7  |  6 19  |  1 20  | 11 14  |  9 13  | 10 17  |  5  2  | 18 15  |
|  5 19  |  2  3  |  4  6  | 13 14  | 18 16  |  9 12  | 20 17  | 15 11  |  1  8  | 10  7  |
| 17  8  | 13 18  |  5 15  | 16 12  | 14 10  |  7  2  |  1  4  |  6 19  | 20 11  |  9  3  |
|  4 12  | 10 11  |  2 14  | 18  5  |  7 15  |  3 17  |  6 19  |  8 20  |  9 16  |  1 13  |
| 18 11  |  8 14  | 12 13  |  7 10  | 19  2  |  6 16  | 15  3  |  1  9  |  4 17  | 20  5  |
---------------------------------------------------------------------------------------------------------------
