---------------------------------------------------------------------------------------------------------------
|  1 16  | 13 20  | 15  3  | 10 14  |  4 18  |  8  7  | 19 11  | 12  5  |  2  6  |  9 17  |
|  7  6  |  4  9  | 13  8  | 18 12  | 14 15  |  2 11  | 10 17  | 19 16  |  3  5  | 20  1  |
|  8 15  | 16  7  |  5  4  |  2 19  | 11  9  | 18 14  |  6  1  | 10 17  | 13 20  | 12  3  |
| 12 19  | 17 18  | 11 10  | 13  6  |  5  8  |  9 16  | 14  4  |  3 20  |  7  1  |  2 15  |
| 10 14  | 12  6  | 16  9  |  4  1  | 13 19  |  5 17  |  3 20  |  7  2  | 11 15  |  8 18  |
| 20  3  | 19 15  |  6 18  | 16  9  |  2  7  | 13  1  |  8  5  | 11 14  | 12 17  |  4 10  |
| 17 11  |  8 10  |  7 20  | 15  5  |  6 12  |  3  4  |  9  2  | 13  1  | 16 18  | 14 19  |
|  5 18  |  3  1  | 12  2  | 11 17  | 16 10  | 19 20  | 13 15  |  9  4  | 14  8  |  7  6  |
|  4 13  |  5  2  | 17 14  |  7  3  | 20  1  | 10 15  | 18 12  |  6  8  |  9 19  | 11 16  |
|  9  2  | 14 11  |  1 19  | 20  8  | 17  3  | 12  6  | 16  7  | 15 18  |  4 10  | 13  5  |
---------------------------------------------------------------------------------------------------------------
| 14 20  |  1  5  |  8 12  |  3 16  |  7  4  |  6 18  | 17 19  |  2  9  | 15 11  | 10 13  |
| 11  4  |  7  3  | 20 15  | 12 13  |  1  6  | 16 10  |  5  9  | 17 19  |  8 14  | 18  2  |
| 15  1  | 20 13  | 14  6  | 19  4  | 10 11  |  7  2  | 12 16  | 18  3  | 17  9  |  5  8  |
| 16  8  | 11 12  | 10 13  |  6 15  | 19 14  |  1  3  |  2 18  | 20  7  |  5  4  | 17  9  |
| 13  5  | 18  4  | 19 17  |  1 11  | 15 16  | 14  9  | 20  3  |  8 12  | 10  2  |  6  7  |
| 19 12  | 10  8  |  3  5  | 14  7  |  9  2  | 17 13  | 11  6  |  4 15  | 18 16  |  1 20  |
|  3 10  |  2 14  |  4  7  |  9 18  | 12 17  | 20  5  |  1  8  | 16  6  | 19 13  | 15 11  |
| 18  7  |  9 16  |  2 11  | 17 20  |  3  5  |  4  8  | 15 13  |  1 10  |  6 12  | 19 14  |
|  2 17  |  6 19  |  9  1  |  8 10  | 18 13  | 15 12  |  7 14  |  5 11  | 20  3  | 16  4  |
|  6  9  | 15 17  | 18 16  |  5  2  |  8 20  | 11 19  |  4 10  | 14 13  |  1  7  |  3 12  |
---------------------------------------------------------------------------------------------------------------
