---------------------------------------------------------------------------------------------------------------
|  7 10  |  8  5  | 14  6  |  2 18  | 19 16  | 11 12  | 15 20  |  3 17  |  9 13  |  1  4  |
|  1  3  | 20 13  | 19 12  |  6  8  |  2 14  | 18  5  | 11  9  |  7  4  | 17 16  | 10 15  |
| 12 13  | 14 11  | 15  4  | 16 19  | 18  6  |  8  3  |  2  5  |  1  9  | 20 10  | 17  7  |
| 18 20  |  3  1  | 10  8  |  4 11  |  5 12  |  6 14  | 16 17  | 13  2  | 15  7  |  9 19  |
| 16 11  | 12  7  |  3  2  | 13 10  |  8 17  | 19  9  | 18  6  | 20 15  |  4  1  | 14  5  |
|  8  6  | 18 15  | 20 13  |  5  7  | 10  9  | 17  4  |  3  1  | 16 11  | 14 19  | 12  2  |
|  4 17  |  6  2  | 18  5  | 12  9  |  3 15  | 16  1  |  7 14  | 19 10  | 11  8  | 20 13  |
|  9 19  | 10 16  | 11  7  | 14 17  |  1  4  | 15 20  | 12 13  |  6 18  |  2  5  |  8  3  |
| 15 14  |  4 19  | 17  9  |  3  1  | 20 13  |  2  7  |  8 10  | 12  5  | 18  6  | 16 11  |
|  2  5  |  9 17  |  1 16  | 15 20  |  7 11  | 10 13  | 19  4  | 14  8  | 12  3  | 18  6  |
---------------------------------------------------------------------------------------------------------------
| 13  7  | 11  8  |  2 15  | 10  5  | 14  3  |  4 17  | 20 12  | 18 16  |  6  9  | 19  1  |
| 20 12  | 15 18  |  7  1  |  9 13  |  4 10  |  3  2  | 17 19  | 11  6  | 16 14  |  5  8  |
|  6  1  | 13 12  |  8 17  | 18 16  |  9 20  | 14 11  |  4  2  |  5  3  | 19 15  |  7 10  |
| 17  9  |  1  3  | 12 11  | 19  2  | 13  7  | 20 10  |  6  8  | 15 14  |  5 18  |  4 16  |
| 11 15  |  7  9  |  6 10  | 17 12  | 16  2  |  1 18  |  5  3  |  4 19  |  8 20  | 13 14  |
| 19  2  | 16  6  |  4  3  |  7 15  | 17  1  |  5  8  | 14 18  | 10 20  | 13 12  | 11  9  |
| 10 16  | 17  4  | 13 14  | 20  6  | 12  5  |  7 19  |  9 11  |  8  1  |  3  2  | 15 18  |
| 14  4  |  2 20  |  5 18  |  8  3  | 15 19  | 12 16  |  1  7  |  9 13  | 10 11  |  6 17  |
|  3 18  |  5 10  | 16 19  |  1 14  | 11  8  |  9  6  | 13 15  | 17 12  |  7  4  |  2 20  |
|  5  8  | 19 14  |  9 20  | 11  4  |  6 18  | 13 15  | 10 16  |  2  7  |  1 17  |  3 12  |
---------------------------------------------------------------------------------------------------------------
