---------------------------------------------------------------------------------------------------------------
|  7  2  |  8 19  |  9 17  | 13 12  | 20 11  |  5 18  | 16  1  | 15  6  |  3 10  | 14  4  |
| 11  1  | 13 18  | 12  8  |  9 14  | 19 10  | 20  6  | 17  5  | 16  3  |  7  4  | 15  2  |
|  8  6  |  3  7  | 10  1  | 11 15  | 14 18  | 13  2  | 20  9  | 12  4  | 16  5  | 19 17  |
|  4 17  |  1 15  | 19 16  |  7  3  |  5  2  | 14  9  | 13 10  | 18 11  | 12  6  | 20  8  |
| 13 14  |  6 12  |  7 20  |  1 16  |  9  3  | 10  8  |  2  4  |  5 17  | 15 19  | 18 11  |
| 10  5  | 20  2  |  3 11  |  8 17  | 12  1  | 16  4  |  6 15  |  7 19  | 18 14  | 13  9  |
| 20 15  |  5 10  |  2 13  | 19  4  |  7 17  |  1 12  |  3 18  |  9 14  | 11  8  | 16  6  |
| 12 19  |  4 11  |  6 18  | 20  5  | 15 16  |  7  3  |  8 14  |  2 13  |  9 17  |  1 10  |
| 18 16  | 17  9  | 15 14  |  6  2  |  4  8  | 11 19  | 12  7  | 20 10  | 13  1  |  3  5  |
|  9  3  | 14 16  |  5  4  | 18 10  | 13  6  | 17 15  | 19 11  |  1  8  |  2 20  |  7 12  |
---------------------------------------------------------------------------------------------------------------
|  1  4  | 16 20  | 14 10  | 12  9  |  2  5  | 15  7  | 11 17  | 13 18  |  8  3  |  6 19  |
| 19  8  |  9 17  |  1  7  | 16 20  | 10  4  | 12 14  | 15 13  |  3  5  |  6 11  |  2 18  |
|  6  7  | 19  1  | 16 15  | 14 13  | 17  9  |  4 11  |  5  3  |  8  2  | 10 18  | 12 20  |
|  2 11  | 18 14  |  4 19  |  3  8  | 16 13  |  9  1  | 10 20  |  6 15  |  5 12  | 17  7  |
| 15  9  | 10  3  | 17 12  |  2 19  |  6 14  |  8 13  | 18 16  | 11 20  |  4  7  |  5  1  |
| 16 10  |  2 13  | 18  3  | 17  1  |  8  7  |  6  5  |  9 19  |  4 12  | 20 15  | 11 14  |
| 17 20  | 11  4  | 13  9  |  5 18  |  3 12  | 19 16  |  7  6  | 10  1  | 14  2  |  8 15  |
| 14 18  | 15  5  |  8  6  |  4  7  | 11 20  |  2 10  |  1 12  | 19 16  | 17 13  |  9  3  |
|  5 13  | 12  6  | 20  2  | 15 11  | 18 19  |  3 17  |  4  8  | 14  7  |  1  9  | 10 16  |
|  3 12  |  7  8  | 11  5  | 10  6  |  1 15  | 18 20  | 14  2  | 17  9  | 19 16  |  4 13  |
---------------------------------------------------------------------------------------------------------------
