---------------------------------------------------------------------------------------------------------------
|  2 10  | 20 17  |  4 19  |  7 11  |  3  8  |  5  1  | 18 16  | 14  9  | 15 12  | 13  6  |
|  7  6  |  2 14  | 17 16  |  3 20  |  5 18  | 10  9  |  8 19  |  4 12  | 11 13  | 15  1  |
| 16 12  | 13  1  | 15 11  | 19 14  |  7  6  | 20 17  |  3  9  |  2  8  |  4 18  |  5 10  |
| 14 13  | 16  7  | 12 10  | 15  4  |  1  9  | 18  8  |  5 11  |  3 20  |  2  6  | 19 17  |
| 17 18  | 10  3  |  6  2  | 13 16  | 19  4  | 15  7  | 20  1  | 11  5  | 14  8  | 12  9  |
|  1  5  | 12 11  | 13 14  | 10 17  | 16 20  |  3 19  |  2  4  | 15  6  |  9  7  |  8 18  |
|  8  9  |  5 15  | 20  7  |  1 12  | 14 17  | 11 13  | 10  6  | 16 18  |  3 19  |  2  4  |
|  4 20  | 18 19  |  1  5  |  8  9  | 11 15  |  2  6  | 14 12  | 10 13  | 16 17  |  3  7  |
| 19 11  |  4  8  |  3  9  |  6 18  | 10  2  | 14 12  | 15 13  |  7 17  |  5  1  | 16 20  |
|  3 15  |  9  6  | 18  8  |  2  5  | 12 13  |  4 16  | 17  7  | 19  1  | 20 10  | 11 14  |
---------------------------------------------------------------------------------------------------------------
| 18  8  |  1  2  | 14 15  | 20  6  | 17  7  | 19  5  | 11  3  |  9 10  | 12 16  |  4 13  |
| 11  1  | 17 10  |  7  6  | 16 19  | 13  3  |  9  2  | 12 20  |  5 14  |  8  4  | 18 15  |
| 12  2  | 11 18  | 16 17  |  9  1  | 20 19  |  6 15  | 13 14  |  8  4  | 10  5  |  7  3  |
|  9  7  |  6 12  |  2  1  | 18  8  | 15 14  | 13 20  |  4  5  | 17 16  | 19  3  | 10 11  |
| 20 14  |  8  5  | 11 12  | 17 13  |  4  1  |  7  3  | 16 10  |  6 19  | 18 15  |  9  2  |
| 13 19  |  7  4  |  8  3  | 14 15  |  6 11  | 16 10  |  9 18  | 12  2  |  1 20  | 17  5  |
| 10  4  | 14 13  | 19 18  | 12  7  |  2  5  |  8 11  |  6 15  | 20  3  | 17  9  |  1 16  |
|  6 16  |  3  9  | 10  4  |  5  2  | 18 12  |  1 14  | 19 17  | 13 15  |  7 11  | 20  8  |
|  5 17  | 15 16  |  9 20  | 11  3  |  8 10  | 12  4  |  1  2  | 18  7  | 13 14  |  6 19  |
| 15  3  | 19 20  |  5 13  |  4 10  |  9 16  | 17 18  |  7  8  |  1 11  |  6  2  | 14 12  |
---------------------------------------------------------------------------------------------------------------
