---------------------------------------------------------------------------------------------------------------
|  8  4  |  7 12  | 11  9  | 17  1  | 10  2  | 15 18  | 16  6  |  3  5  | 20 13  | 19 14  |
| 20  9  | 10  1  |  2 12  | 13 19  | 17  5  | 14 16  | 18  7  |  4 15  |  6  3  | 11  8  |
| 16 10  |  4  6  | 17  1  |  2 18  |  3  7  | 11 20  |  5 14  | 13 12  |  8 19  | 15  9  |
|  5 18  |  8 19  | 15  3  | 12 16  | 11 14  | 17 13  |  1  9  |  7 20  |  4 10  |  2  6  |
| 11 17  |  9 13  |  8  7  | 14  4  | 19  1  | 12  2  |  3 10  | 16  6  |  5 15  | 20 18  |
| 14 19  | 11 20  |  4 10  |  8  6  | 12 16  |  9  3  |  2 15  |  1 17  |  7 18  |  5 13  |
|  7  3  | 18  5  |  6 13  |  9 10  |  4 15  | 19  1  | 20 12  | 14  8  | 11  2  | 16 17  |
|  6  1  |  3 14  | 18 19  |  7 15  | 20  9  |  4  5  | 13  8  |  2 11  | 16 17  | 10 12  |
| 13 15  |  2 16  | 20  5  | 11  3  | 18  8  |  7  6  | 19 17  |  9 10  | 12 14  |  4  1  |
| 12  2  | 17 15  | 14 16  |  5 20  |  6 13  | 10  8  |  4 11  | 19 18  |  9  1  |  3  7  |
---------------------------------------------------------------------------------------------------------------
| 18 20  |  5  3  | 16 15  |  1  7  |  2 11  |  6 12  | 17 19  |  8  9  | 13  4  | 14 10  |
|  4  5  |  1  2  |  9 11  | 16 17  | 13  3  | 20 19  | 10 18  | 12  7  | 14  8  |  6 15  |
| 15 11  | 20 18  |  5  2  |  4 14  | 16 17  | 13  9  | 12  1  |  6  3  | 10  7  |  8 19  |
| 10 12  | 15  4  |  3 18  |  6  8  | 14 19  | 16 11  |  9 13  |  5  1  | 17 20  |  7  2  |
| 19  8  | 13 11  | 12  4  | 18  5  | 15  6  |  3 17  |  7 16  | 10 14  |  2  9  |  1 20  |
|  9  7  | 16  8  | 10 17  |  3 11  |  5 18  |  2 14  |  6 20  | 15 19  |  1 12  | 13  4  |
|  3  6  | 12  7  |  1  8  | 15  2  |  9  4  | 18 10  | 14  5  | 20 13  | 19 11  | 17 16  |
|  2 13  |  6 10  | 19 14  | 20  9  |  8 12  |  1  7  | 11  3  | 17  4  | 15 16  | 18  5  |
| 17 16  | 14  9  |  7 20  | 19 13  |  1 10  |  5 15  |  8  4  | 11  2  | 18  6  | 12  3  |
|  1 14  | 19 17  | 13  6  | 10 12  |  7 20  |  8  4  | 15  2  | 18 16  |  3  5  |  9 11  |
---------------------------------------------------------------------------------------------------------------
