---------------------------------------------------------------------------------------------------------------
| 11 17  | 16  8  | 13  9  |  4  7  |  5 15  |  3  1  |  6 18  | 14 10  |  2 12  | 19 20  |
| 19 15  |  3 14  |  7 17  |  9 16  |  2  4  | 10 18  | 12 11  |  6  1  | 13 20  |  5  8  |
| 18  8  |  6  5  | 20 16  | 19 17  |  9 14  | 11  7  |  3  1  |  4  2  | 10 15  | 13 12  |
|  3  9  | 10  4  |  2 15  | 11  6  | 16  7  | 19 12  | 17  8  | 13 20  |  1  5  | 14 18  |
| 10  2  | 17 19  |  5  1  | 15 14  |  8  3  |  6  9  | 20 13  | 12 11  | 18 16  |  4  7  |
|  5 14  |  9 15  | 11 10  |  8 18  | 17 12  | 13 20  |  2  7  |  3 19  |  6  4  |  1 16  |
|  4  7  | 18 11  |  6 19  | 12 20  | 13  1  | 14 17  |  9 15  | 16  5  |  3  8  | 10  2  |
| 12  1  |  2 13  | 14  4  | 10  5  | 11 20  | 15  8  | 19 16  |  9 18  | 17  7  |  3  6  |
| 20 13  |  1 12  |  8 18  |  2  3  | 10  6  |  5 16  | 14  4  | 17  7  | 11 19  | 15  9  |
|  6 16  | 20  7  |  3 12  |  1 13  | 18 19  |  2  4  | 10  5  | 15  8  |  9 14  | 11 17  |
---------------------------------------------------------------------------------------------------------------
| 14 20  |  4  6  | 19 13  |  3 12  | 15 11  | 17  5  |  1  2  | 18 16  |  8  9  |  7 10  |
| 17  4  | 12 10  | 16  3  | 20  9  |  6  5  | 18 15  | 13 19  |  2 14  |  7  1  |  8 11  |
|  1 12  |  8 18  | 10 20  |  5  2  |  7  9  | 16  3  | 15  6  | 19 13  |  4 11  | 17 14  |
|  9 11  | 13 20  | 12  2  | 18 10  | 19  8  |  4 14  | 16 17  |  7 15  |  5  3  |  6  1  |
|  8  3  |  5  9  |  1 14  | 17 19  | 12 13  |  7  6  | 18 10  | 11  4  | 16  2  | 20 15  |
| 13 18  | 15 16  |  9  7  | 14  1  |  3 10  |  8  2  | 11 20  |  5 17  | 19  6  | 12  4  |
|  2  5  | 14 17  | 18  8  |  6  4  | 20 16  |  1 11  |  7  3  | 10 12  | 15 13  |  9 19  |
|  7  6  | 11  1  | 17  5  | 16 15  | 14  2  | 20 19  |  4  9  |  8  3  | 12 10  | 18 13  |
| 15 10  | 19  2  |  4 11  |  7  8  |  1 17  |  9 13  |  5 12  | 20  6  | 14 18  | 16  3  |
| 16 19  |  7  3  | 15  6  | 13 11  |  4 18  | 12 10  |  8 14  |  1  9  | 20 17  |  2  5  |
---------------------------------------------------------------------------------------------------------------
