---------------------------------------------------------------------------------------------------------------
|  8 20  |  3  4  |  6  9  | 15 12  | 19 13  | 10 14  |  7 16  |  2 17  |  1 18  |  5 11  |
|  3 11  |  8 13  | 20 17  |  5  7  | 15 18  |  2 12  |  1  6  | 10  4  | 14 19  |  9 16  |
|  5 12  |  2  7  | 10 18  | 17 14  | 20  3  | 16  6  | 13 19  |  1  8  |  9 11  | 15  4  |
| 10  7  | 12 20  |  8 13  |  3 16  |  2 11  | 15 17  | 18  9  |  6 19  |  4  5  |  1 14  |
| 18 19  |  5 16  |  4  2  | 20  8  | 12  1  | 11 13  | 15 14  |  9  3  | 10  6  |  7 17  |
| 13 17  | 15 14  |  7  3  | 10 11  | 16  5  |  9  1  |  2  4  | 18 12  |  8 20  |  6 19  |
| 14 16  | 17  1  |  5 12  |  4  6  |  8  9  | 19 18  | 10 11  | 15 13  |  2  7  | 20  3  |
|  4  1  | 10 19  | 16 14  |  9  2  |  6  7  |  8 20  | 12  3  | 11  5  | 15 17  | 13 18  |
|  2 15  |  9  6  |  1 11  | 18 19  | 10  4  |  3  7  |  5 17  | 14 20  | 13 16  |  8 12  |
|  9  6  | 11 18  | 19 15  |  1 13  | 14 17  |  4  5  | 20  8  |  7 16  |  3 12  |  2 10  |
---------------------------------------------------------------------------------------------------------------
|  6 13  |  4 12  | 17 19  | 11  1  |  5  2  | 14 16  |  3  7  | 20 15  | 18  8  | 10  9  |
|  1 10  | 13  2  | 12  5  |  6 15  |  4 20  | 17  9  | 16 18  | 19  7  | 11 14  |  3  8  |
| 19 14  |  1 10  |  3  6  | 12 17  | 11 15  | 18  2  |  4 20  |  8  9  |  7 13  | 16  5  |
| 20  3  |  7 15  | 13 10  |  8  9  |  1 12  |  5 11  | 19  2  | 17 18  | 16  4  | 14  6  |
| 12  4  | 16  5  | 15 20  |  7  3  | 18 14  |  1  8  | 17 10  | 13  6  | 19  9  | 11  2  |
| 17  8  | 19 11  |  2  4  | 13  5  |  3 10  | 20 15  |  9 12  | 16 14  |  6  1  | 18  7  |
| 15  2  |  6  3  | 14  1  | 19 18  |  9 16  |  7  4  |  8  5  | 12 11  | 20 10  | 17 13  |
|  7  9  | 20 17  | 18 16  | 14 10  | 13  8  |  6 19  | 11  1  |  4  2  |  5  3  | 12 15  |
| 11  5  | 18  8  |  9  7  | 16  4  | 17  6  | 13 10  | 14 15  |  3  1  | 12  2  | 19 20  |
| 16 18  | 14  9  | 11  8  |  2 20  |  7 19  | 12  3  |  6 13  |  5 10  | 17 15  |  4  1  |
---------------------------------------------------------------------------------------------------------------
