---------------------------------------------------------------------------------------------------------------
|  3 10  |  5 12  | 18  7  | 17 19  |  4 11  | 15 13  | 16 20  |  9  8  | 14  1  |  6  2  |
| 15  9  | 10 11  | 12  5  |  4 20  | 17 19  | 18  2  | 14  1  | 16 13  |  8  6  |  3  7  |
|  4 19  |  9 15  | 17 14  |  7  6  | 16 12  | 20  1  | 11  2  |  5  3  | 13 18  |  8 10  |
| 12 18  | 14  3  |  9 13  |  5  8  |  7 10  | 19 16  |  6 15  |  2  1  | 20 17  | 11  4  |
|  2 20  |  6 16  | 10  3  | 11 12  | 13  5  |  7  4  |  8 17  | 19 14  |  9 15  |  1 18  |
| 14  7  |  8 20  | 16  6  | 10  2  |  9  1  | 17 11  | 13 19  | 15 18  |  3  4  |  5 12  |
|  6 17  |  4 13  |  2 20  |  9  1  | 15  8  |  5 10  |  3 18  | 11  7  | 19 12  | 14 16  |
| 11  1  | 18  7  |  4  8  | 16 15  | 20  6  |  3 14  | 10  9  | 17 12  |  2  5  | 19 13  |
|  5  8  |  2 19  | 11  1  | 13 18  |  3 14  |  9  6  |  4 12  | 10 20  | 16  7  | 17 15  |
| 13 16  | 17  1  | 19 15  | 14  3  | 18  2  |  8 12  |  5  7  |  4  6  | 10 11  | 20  9  |
---------------------------------------------------------------------------------------------------------------
| 10 15  |  3 14  |  6 19  |  8 13  |  5  7  |  4  9  | 17 11  | 20  2  | 18 16  | 12  1  |
| 16  6  |  7 17  | 13  4  | 18  9  | 14  3  |  1  8  | 19  5  | 12 15  | 11 10  |  2 20  |
|  8 12  | 19  6  | 14 18  |  1 17  | 10 20  | 13  5  |  9 16  |  7 11  | 15  2  |  4  3  |
| 19 14  | 12  5  |  7 10  |  6 16  |  2  9  | 11  3  | 18 13  |  1  4  | 17 20  | 15  8  |
| 17 13  | 11  9  |  5 12  | 20  7  |  6 15  | 10 19  |  2  4  |  8 16  |  1  3  | 18 14  |
|  7 11  | 16  4  |  3  2  | 19 10  |  1 17  |  6 20  | 15 14  | 18  9  | 12  8  | 13  5  |
|  1  5  | 20 18  |  8 16  | 12 11  | 19  4  |  2 15  |  7  3  | 13 10  |  6 14  |  9 17  |
|  9  2  |  1  8  | 20 17  | 15 14  | 11 13  | 16 18  | 12 10  |  3  5  |  4 19  |  7  6  |
| 18  4  | 15  2  |  1  9  |  3  5  | 12 16  | 14 17  | 20  8  |  6 19  |  7 13  | 10 11  |
| 20  3  | 13 10  | 15 11  |  2  4  |  8 18  | 12  7  |  1  6  | 14 17  |  5  9  | 16 19  |
---------------------------------------------------------------------------------------------------------------
