---------------------------------------------------------------------------------------------------------------
| 11 16  |  5  6  | 10 20  |  8 12  |  9 17  | 19  4  | 14  2  |  7  3  |  1 13  | 18 15  |
| 19 15  | 11  2  |  3  7  | 10  9  | 18  5  | 14  8  | 16 13  | 17  4  | 12  6  | 20  1  |
|  8  4  | 17 15  | 12 14  |  5  7  | 16  6  |  3 13  | 10 20  |  2  1  |  9 18  | 11 19  |
| 20  3  | 13 19  | 11  6  | 14 18  |  8 12  |  9  5  | 17  1  | 16 10  |  2 15  |  4  7  |
|  1 13  | 16 18  | 19  2  | 11  4  | 20 14  |  6 10  |  5  9  |  8 15  |  3  7  | 12 17  |
| 10  5  |  4  8  | 15 16  | 19 17  | 11  3  |  2  1  |  7 12  |  9 18  | 14 20  |  6 13  |
| 17 12  | 10  3  |  5  9  | 13 16  |  1 15  | 18  7  |  8  4  |  6 20  | 19 11  |  2 14  |
|  9  6  | 20  7  |  8  4  | 15  1  | 10  2  | 12 11  | 18 19  | 14 13  | 17 16  |  5  3  |
|  2  7  | 12 14  | 18  1  | 20  3  | 19 13  | 16 17  |  6 15  |  5 11  |  8  4  |  9 10  |
| 14 18  |  9  1  | 13 17  |  6  2  |  4  7  | 20 15  |  3 11  | 19 12  |  5 10  | 16  8  |
---------------------------------------------------------------------------------------------------------------
|  7  2  |  6 11  | 20  3  |  4 15  | 12  8  | 17 16  |  9 10  | 18 14  | 13  1  | 19  5  |
|  3 17  |  2 16  |  6 15  | 12  8  |  5 10  |  7  9  |  1 18  |  4 19  | 20 14  | 13 11  |
| 13  1  | 15  5  | 16 19  |  7  6  | 14 11  |  8 18  | 20  3  | 10  9  |  4 12  | 17  2  |
| 15 10  |  1 17  |  2 18  |  3 19  |  6  4  | 13 12  | 11  8  | 20  5  |  7  9  | 14 16  |
| 18  9  |  8 20  | 17 11  | 16 13  |  3 19  |  4 14  | 12  5  |  1  7  | 10  2  | 15  6  |
|  5 19  |  3  4  |  1  8  |  2 11  | 15 18  | 10 20  | 13 14  | 12 16  |  6 17  |  7  9  |
| 16 11  | 14 12  |  9  5  |  1 10  |  7 20  | 15  3  |  2  6  | 13 17  | 18 19  |  8  4  |
| 12  8  |  7  9  |  4 13  | 18 14  | 17  1  |  5  6  | 19 16  | 11  2  | 15  3  | 10 20  |
|  4 20  | 18 13  | 14 10  | 17  5  |  2  9  | 11 19  | 15  7  |  3  6  | 16  8  |  1 12  |
|  6 14  | 19 10  |  7 12  |  9 20  | 13 16  |  1  2  |  4 17  | 15  8  | 11  5  |  3 18  |
---------------------------------------------------------------------------------------------------------------
