---------------------------------------------------------------------------------------------------------------
| 16 10  |  9 11  | 18  1  | 14 20  |  2  3  | 12  5  | 13  6  | 15  4  |  8  7  | 17 19  |
|  5  9  | 10  3  | 14 13  |  4  7  |  6 15  |  8  2  | 12 11  | 17 18  | 19 20  | 16  1  |
| 12 15  | 13 18  | 19  7  | 17  5  | 14 11  |  6  9  | 10  1  |  3  8  |  4 16  | 20  2  |
| 13  4  |  5 15  | 20  3  |  9 18  | 10 16  | 11 14  |  2  8  | 12 19  |  1 17  |  7  6  |
|  8  6  |  1  7  | 15 10  | 19  2  | 18 12  | 17 16  | 14  9  | 11 20  |  3 13  |  5  4  |
| 17 14  | 12  8  |  9 11  | 15  3  | 19  7  |  4 13  | 16 20  |  1  2  |  6  5  | 10 18  |
|  7 19  | 16  4  | 17 12  | 10 13  |  9 20  | 18  1  |  3  5  | 14  6  | 11  2  |  8 15  |
| 11  3  | 14  6  |  5  2  | 12  1  |  8 17  | 20 10  | 19  4  | 16  7  | 15 18  | 13  9  |
| 20 18  | 17  2  |  6  4  | 16  8  |  5  1  |  3 19  |  7 15  | 10 13  | 12  9  | 11 14  |
|  1  2  | 20 19  |  8 16  | 11  6  | 13  4  |  7 15  | 18 17  |  5  9  | 10 14  | 12  3  |
---------------------------------------------------------------------------------------------------------------
| 15  7  | 19  1  | 12 20  | 13 17  |  3 10  |  9  8  |  6 18  |  2 14  | 16 11  |  4  5  |
|  4 13  | 15 10  |  3 14  |  8 19  | 17 18  |  2 11  |  5 16  | 20  1  |  7  6  |  9 12  |
|  3 11  |  7 12  | 16  5  | 18  9  | 15  8  | 10 20  |  1  2  |  6 17  | 14  4  | 19 13  |
| 14  1  | 11 17  | 13 15  |  2 16  |  7  9  |  5  3  |  4 19  | 18 12  | 20 10  |  6  8  |
|  2 20  |  8 13  |  1 19  |  3 15  |  4  6  | 16 18  | 17 10  |  9 11  |  5 12  | 14  7  |
| 18 16  |  4  9  |  7 17  |  5 11  |  1 13  | 14  6  |  8 12  | 19 10  |  2 15  |  3 20  |
|  9  8  |  2 14  |  4  6  |  7 10  | 20  5  | 15 12  | 11  3  | 13 16  | 18 19  |  1 17  |
| 10  5  |  3 16  |  2  8  |  6  4  | 12 19  | 13 17  | 20 14  |  7 15  |  9  1  | 18 11  |
|  6 17  | 18 20  | 11  9  |  1 12  | 16 14  | 19  4  | 15  7  |  8  5  | 13  3  |  2 10  |
| 19 12  |  6  5  | 10 18  | 20 14  | 11  2  |  1  7  |  9 13  |  4  3  | 17  8  | 15 16  |
---------------------------------------------------------------------------------------------------------------
