---------------------------------------------------------------------------------------------------------------
|  6 19  |  5  1  |  3 18  | 17 15  |  2 11  |  4 20  | 10  8  | 12  7  |  9 13  | 14 16  |
| 13  3  | 17 18  |  5 15  |  4 11  | 16  1  |  2 14  |  6 12  |  8 20  |  7 19  |  9 10  |
|  9 18  |  3 14  | 17 10  |  5  7  | 13 20  | 16  1  |  2 15  | 19  6  | 12 11  |  4  8  |
| 10 11  |  6  4  | 14 13  | 18 19  | 17  5  | 15 12  | 16  9  |  1  3  | 20  8  |  7  2  |
| 16  1  | 11 20  |  6  8  |  3 14  | 10 15  | 19 18  |  7 17  |  9  2  |  5  4  | 13 12  |
| 14 12  | 16  8  | 11  4  | 13 20  |  7  9  | 17  3  | 18  1  | 15  5  |  2 10  | 19  6  |
|  4 15  | 10  2  | 12  9  |  6  8  |  3 18  |  5  7  | 19 20  | 17 13  | 14 16  | 11  1  |
|  8 17  |  9 13  | 20  7  | 12  2  | 14 19  | 11  6  |  5  4  | 16 10  | 15  1  |  3 18  |
|  7  5  | 15 12  | 19  2  |  1 16  |  4  8  |  9 10  |  3 13  | 14 11  |  6 18  | 20 17  |
| 20  2  | 19  7  |  1 16  | 10  9  |  6 12  | 13  8  | 14 11  | 18  4  |  3 17  |  5 15  |
---------------------------------------------------------------------------------------------------------------
| 18  8  | 14 10  |  7 19  | 20 13  |  9 16  |  1 11  | 12  6  |  3 15  | 17  5  |  2  4  |
| 12 13  | 18  9  |  4  6  | 11  5  |  1  2  |  3 16  | 17  7  | 20 19  |  8 15  | 10 14  |
| 15 20  |  7 11  | 10 17  | 19  3  |  8 13  | 18  2  |  1  5  |  4 14  | 16 12  |  6  9  |
|  3  6  |  1 19  | 13  5  |  2  4  | 18  7  |  8 17  | 15 14  | 10 12  | 11  9  | 16 20  |
| 11 14  |  8  5  |  2 12  |  9  6  | 19 17  | 20 15  |  4 16  |  7  1  | 10  3  | 18 13  |
|  2  4  | 20  3  | 18 14  |  7 17  | 15 10  | 12  9  |  8 19  |  5 16  | 13  6  |  1 11  |
|  5 10  |  2 15  |  8  1  | 16 18  | 12  6  | 14 19  | 11  3  | 13  9  |  4 20  | 17  7  |
|  1  7  |  4  6  | 16  3  |  8 12  | 20 14  | 10 13  |  9 18  | 11 17  | 19  2  | 15  5  |
| 17  9  | 13 16  | 15 11  | 14  1  |  5  3  |  6  4  | 20 10  |  2  8  | 18  7  | 12 19  |
| 19 16  | 12 17  |  9 20  | 15 10  | 11  4  |  7  5  | 13  2  |  6 18  |  1 14  |  8  3  |
---------------------------------------------------------------------------------------------------------------
