---------------------------------------------------------------------------------------------------------------
|  5 20  |  4 13  | 17 10  | 15 14  |  7 16  |  3  9  | 11  6  |  2 19  | 12  1  | 18  8  |
|  4  8  | 19  9  | 14  5  | 10 18  | 13 17  | 16  1  | 20  7  |  3 12  | 11  2  |  6 15  |
|  1  9  | 18  6  |  4 19  | 16 20  | 14  8  | 17 12  |  2 13  | 11 10  |  5 15  |  3  7  |
| 12 16  |  2 11  |  9  3  | 17 19  | 18 10  | 15  5  | 14  8  |  6 13  |  4  7  |  1 20  |
|  2 11  |  7 12  | 13  1  |  9  5  | 19  6  | 10 18  | 15  3  | 17 16  |  8 20  |  4 14  |
| 17  7  |  1 20  |  2 16  |  4 13  | 15  9  | 19 14  | 12 18  |  8  5  |  6  3  | 10 11  |
|  6 18  | 16 14  | 20 11  |  8  2  |  4  3  |  7 13  |  5 17  | 15  1  | 10 19  |  9 12  |
| 13  3  |  8  5  |  7 15  |  1  6  |  2 12  |  4 11  | 19 10  | 14 20  |  9 18  | 17 16  |
| 15 10  |  3 17  |  6 18  |  7 12  |  5 11  |  8 20  | 16  1  |  9  4  | 14 13  | 19  2  |
| 14 19  | 10 15  | 12  8  |  3 11  |  1 20  |  2  6  |  9  4  |  7 18  | 17 16  |  5 13  |
---------------------------------------------------------------------------------------------------------------
|  7 15  |  9 19  | 18 20  |  6 17  | 16 14  |  1  3  | 13  5  |  4 11  |  2 12  |  8 10  |
|  9  4  | 12  7  |  1  6  | 18 10  | 11 15  | 20  8  | 17  2  | 13  3  | 16  5  | 14 19  |
| 20  6  | 13  4  |  5  7  | 19  3  | 17  1  | 11 16  |  8 14  | 10  2  | 15  9  | 12 18  |
| 16  1  | 15 18  | 11  9  | 13  7  |  6 19  | 14 17  |  4 20  | 12  8  |  3 10  |  2  5  |
| 11 14  |  6 16  | 19 17  | 20 15  | 10  7  |  5  2  |  3 12  |  1  9  | 18  8  | 13  4  |
|  3 12  | 17  1  | 10  2  | 14  8  |  9 18  | 13  4  |  7 16  |  5 15  | 19 11  | 20  6  |
| 19  2  | 11  3  | 16 12  |  5  9  |  8  4  |  6 10  | 18 15  | 20 14  | 13 17  |  7  1  |
| 18 17  |  5 10  |  8 14  |  2  4  |  3 13  | 12 15  |  1 11  | 19  7  | 20  6  | 16  9  |
|  8 13  | 20  2  |  3  4  | 11  1  | 12  5  | 18 19  | 10  9  | 16  6  |  7 14  | 15 17  |
| 10  5  | 14  8  | 15 13  | 12 16  | 20  2  |  9  7  |  6 19  | 18 17  |  1  4  | 11  3  |
---------------------------------------------------------------------------------------------------------------
