---------------------------------------------------------------------------------------------------------------
| 15 10  | 14  5  |  3 12  |  7 17  | 19 16  |  2 20  |  9  4  | 11  8  |  1 18  | 13  6  |
| 16 12  | 10  8  | 17  7  |  9 20  |  6  1  | 13  3  | 15 19  | 14 18  |  2  4  |  5 11  |
| 17 13  |  3 20  |  1  5  | 12 16  |  7 15  | 18 11  |  6  8  |  9 10  | 19 14  |  2  4  |
|  7 20  | 19  4  | 16 14  |  5 15  | 18 12  |  9 10  | 11 13  |  2 17  |  8  6  |  1  3  |
| 11 19  | 17 13  | 10  8  | 14 18  |  5 20  | 16  7  |  2  1  |  6  4  |  9  3  | 15 12  |
|  5 14  |  7  1  | 20 15  | 11 19  |  2  9  |  4  6  | 18 10  | 13  3  | 17 12  |  8 16  |
| 18  6  | 16 11  |  4  9  |  8  2  | 17 14  |  1 19  | 20  3  | 15 12  | 13  5  |  7 10  |
|  8  3  | 15 12  | 11  2  |  1  6  |  4 13  | 17  5  | 16 14  | 19 20  | 10  7  |  9 18  |
|  9  1  | 18  2  | 19  6  |  4 13  | 10  3  | 14  8  | 12  5  | 16  7  | 15 11  | 20 17  |
|  2  4  |  9  6  | 18 13  | 10  3  | 11  8  | 15 12  |  7 17  |  5  1  | 16 20  | 14 19  |
---------------------------------------------------------------------------------------------------------------
| 10  5  |  2 16  | 12  4  | 15  9  |  8 19  |  3  1  | 14 20  |  7  6  | 11 17  | 18 13  |
|  1 11  |  5  7  |  8 19  | 17  4  | 20 10  | 12 13  |  3 15  | 18  9  |  6  2  | 16 14  |
| 19  9  |  1 18  |  7 20  |  2 14  | 15 11  |  8 16  | 17  6  |  4 13  |  3 10  | 12  5  |
| 12 17  |  8  9  | 15  3  | 19 11  | 13 18  |  5  2  |  1  7  | 10 14  |  4 16  |  6 20  |
| 13 16  | 11 17  |  5 10  |  3  7  |  9  2  |  6 14  |  8 12  | 20 15  | 18 19  |  4  1  |
| 20 15  | 12 14  |  6 11  | 16  8  |  1 17  | 19  9  |  4 18  |  3  5  |  7 13  | 10  2  |
|  6  7  | 13 19  |  9 16  | 20  1  | 14  4  | 10 18  |  5  2  | 17 11  | 12 15  |  3  8  |
|  4 18  |  6  3  | 14 17  | 13 12  | 16  5  |  7 15  | 10 11  |  8  2  | 20  1  | 19  9  |
|  3  8  | 20 10  |  2 18  |  6  5  | 12  7  | 11  4  | 13 16  |  1 19  | 14  9  | 17 15  |
| 14  2  |  4 15  | 13  1  | 18 10  |  3  6  | 20 17  | 19  9  | 12 16  |  5  8  | 11  7  |
---------------------------------------------------------------------------------------------------------------
