---------------------------------------------------------------------------------------------------------------
| 17  8  | 18 16  |  3 20  |  5 13  |  9 10  | 14  4  | 11 12  |  6  7  | 19  1  |  2 15  |
| 11  2  |  9  8  | 16  5  | 17 19  |  1 20  | 10 13  |  7  3  | 15  4  | 14  6  | 18 12  |
| 14  6  | 11 19  |  9 18  |  3 10  | 12  7  |  2 20  |  8  1  |  5 13  | 15  4  | 16 17  |
| 13 12  |  4  5  |  7  1  |  9 18  |  6 15  |  8 16  | 14 20  | 11  3  | 17  2  | 19 10  |
|  4  3  | 14 17  |  2  6  |  1 12  | 18 19  |  7  5  | 10 15  | 16  9  | 13 11  | 20  8  |
| 15 16  |  6 12  | 17  4  |  2 20  | 13  5  | 19  1  | 18  9  |  8 14  |  3 10  | 11  7  |
|  1  7  | 10  2  | 11 15  |  4  6  | 17  3  |  9 12  |  5 16  | 20 19  |  8 18  | 14 13  |
|  9  5  | 15  1  | 14 12  | 11 16  |  4  8  | 17 18  | 13 19  | 10  2  | 20  7  |  6  3  |
| 19 20  | 13  3  |  8 10  | 15  7  | 16 14  |  6 11  |  4  2  | 18 17  |  5 12  |  1  9  |
| 10 18  |  7 20  | 13 19  |  8 14  | 11  2  | 15  3  |  6 17  |  1 12  | 16  9  |  5  4  |
---------------------------------------------------------------------------------------------------------------
|  6 13  |  5 10  |  1  9  | 16  8  | 19  4  | 18 15  | 12 11  |  7 20  |  2  3  | 17 14  |
|  5 14  | 17 13  | 12 16  |  6  1  |  3 18  |  4 10  | 20  8  | 19 11  |  7 15  |  9  2  |
|  7  1  | 19  6  |  5  3  | 13  4  | 14 16  | 11  9  |  2 18  | 12  8  | 10 17  | 15 20  |
| 20 19  | 16 14  |  6 17  |  7  3  |  5  1  | 13  2  | 15  4  |  9 18  | 12  8  | 10 11  |
| 16 10  |  2 15  | 20  8  | 12 17  |  7  9  |  1 19  |  3  5  |  4  6  | 11 14  | 13 18  |
| 12 17  | 20  7  | 18 11  | 19  9  |  2  6  |  3  8  | 16 10  | 14 15  |  1 13  |  4  5  |
|  3 11  | 12 18  | 19  7  | 14  5  | 15 17  | 16  6  |  9 13  |  2 10  |  4 20  |  8  1  |
|  8  9  |  1 11  |  4  2  | 18 15  | 10 12  | 20  7  | 17 14  | 13 16  |  6  5  |  3 19  |
| 18 15  |  3  4  | 10 13  | 20  2  |  8 11  | 12 14  |  1  6  | 17  5  |  9 19  |  7 16  |
|  2  4  |  8  9  | 15 14  | 10 11  | 20 13  |  5 17  | 19  7  |  3  1  | 18 16  | 12  6  |
---------------------------------------------------------------------------------------------------------------
