---------------------------------------------------------------------------------------------------------------
|  5 12  | 15  3  | 10 18  | 20 19  | 14  6  |  4 16  |  9 17  |  7  8  |  2  1  | 13 11  |
|  6 13  | 12 14  |  9 19  | 18 17  | 16 10  | 11 20  |  4  2  |  5  3  |  8 15  |  1  7  |
|  2 18  |  1  5  | 12  3  | 15 14  | 11  8  |  6 13  | 16  7  |  4 20  | 10  9  | 19 17  |
| 14 19  |  7  2  | 16  6  |  9 10  | 12  3  | 18  1  | 13 20  | 15 11  |  4 17  |  8  5  |
| 15  7  | 19  6  | 13  1  | 12  3  | 17  9  |  8  2  | 10  5  | 16 14  | 20 11  | 18  4  |
| 20  9  | 17 11  |  5  2  |  6  7  | 13  4  |  3 14  |  8  1  | 10 18  | 16 19  | 15 12  |
| 11  3  |  9 10  |  7 15  |  4  8  | 20  2  | 17 12  | 14 18  |  1 19  |  5 13  | 16  6  |
|  8  1  | 20  4  | 11 17  |  5 16  | 18  7  | 10  9  | 15 19  | 13  2  | 12  6  |  3 14  |
|  4 16  |  8 18  | 20 14  |  2 13  | 15  1  | 19  5  | 11  6  | 17 12  |  7  3  | 10  9  |
| 10 17  | 16 13  |  8  4  | 11  1  | 19  5  | 15  7  | 12  3  |  6  9  | 18 14  | 20  2  |
---------------------------------------------------------------------------------------------------------------
| 18 10  |  3  7  |  6  8  | 16 20  |  2 17  | 14 15  |  1 13  | 11  4  |  9 12  |  5 19  |
|  7 20  | 10 16  |  1 11  |  3  4  |  8 19  | 12 18  |  6 15  |  9 17  | 14  5  |  2 13  |
|  1  2  | 18 20  | 15  7  | 17  9  |  4 12  |  5  8  |  3 11  | 19 13  |  6 16  | 14 10  |
| 13  6  |  2 15  | 18 20  | 10  5  |  1 11  | 16 19  | 17 14  | 12  7  |  3  4  |  9  8  |
| 19  4  | 11 17  | 14 10  |  1 12  |  9 15  |  2  3  |  5  8  | 18  6  | 13 20  |  7 16  |
| 17 15  | 13 19  |  2  5  |  7 11  |  6 20  |  9  4  | 18 16  | 14 10  |  1  8  | 12  3  |
| 16 14  |  6  1  |  3  9  | 13 15  | 10 18  |  7 11  | 19 12  |  8  5  | 17  2  |  4 20  |
| 12 11  |  5  9  | 17 13  |  8 18  |  3 14  |  1 10  |  2  4  | 20 16  | 19  7  |  6 15  |
|  9  5  | 14  8  |  4 12  | 19  2  |  7 16  | 13  6  | 20 10  |  3 15  | 11 18  | 17  1  |
|  3  8  |  4 12  | 19 16  | 14  6  |  5 13  | 20 17  |  7  9  |  2  1  | 15 10  | 11 18  |
---------------------------------------------------------------------------------------------------------------
