---------------------------------------------------------------------------------------------------------------
|  7  2  | 10 12  |  8 18  | 15 20  |  5 14  |  3 13  | 11 19  | 16  1  | 17  4  |  6  9  |
|  3  4  |  2 20  |  7 17  | 12 14  |  6  8  |  5  9  | 16 18  | 10 13  | 15  1  | 19 11  |
| 20 14  | 11  6  | 10 19  |  9  2  |  1  3  |  7 15  | 17 12  | 18  5  | 13 16  |  8  4  |
| 17 10  | 14  9  | 20  5  |  6 11  | 15 13  |  8  1  |  7  2  | 12  4  | 18 19  | 16  3  |
|  8  1  |  5 17  |  2 11  |  4  3  | 12 10  | 14 16  | 13 15  | 19  7  |  9  6  | 18 20  |
| 16 13  | 19 15  |  6  3  | 10 17  |  9 11  | 18  2  |  5  4  | 20 14  |  7  8  |  1 12  |
| 15  5  |  7  8  |  4  9  |  1 19  | 18 16  | 12 11  | 14  3  |  2  6  | 10 20  | 13 17  |
| 19 12  |  1  4  | 15 13  | 18 16  |  2  7  | 10  6  |  9 20  | 17  8  |  3 11  | 14  5  |
|  6 11  |  3 18  | 14 16  | 13  7  | 19 20  |  4 17  |  1  8  | 15  9  |  5 12  | 10  2  |
| 18  9  | 13 16  |  1 12  |  8  5  | 17  4  | 19 20  |  6 10  |  3 11  | 14  2  |  7 15  |
---------------------------------------------------------------------------------------------------------------
| 12  3  | 16 10  | 18  1  | 19 13  | 11  5  | 20  8  | 15  6  |  7 17  |  2  9  |  4 14  |
|  2  6  |  4  7  | 13  8  | 20 10  | 16  1  | 17  5  | 19 11  | 14 15  | 12  3  |  9 18  |
| 14 16  | 17  2  | 19  4  |  7 18  | 20  9  |  6 12  | 10 13  |  1  3  | 11 15  |  5  8  |
| 13  7  |  8  1  |  5 10  | 11  4  |  3 17  |  2 18  | 12  9  |  6 19  | 20 14  | 15 16  |
| 11 17  |  6 19  | 16  2  | 14  1  |  7 18  | 15  3  |  8  5  |  9 12  |  4 13  | 20 10  |
|  4 18  |  9 11  |  3  6  |  5 15  | 14 19  |  1  7  |  2 17  |  8 20  | 16 10  | 12 13  |
|  1 19  | 20 14  | 11  7  |  3 12  | 13 15  |  9 10  | 18 16  |  4  2  |  8  5  | 17  6  |
|  9  8  | 12  3  | 17 15  | 16  6  |  4  2  | 13 14  | 20  7  |  5 10  |  1 18  | 11 19  |
| 10 15  | 18  5  | 12 20  | 17  9  |  8  6  | 11  4  |  3 14  | 13 16  | 19  7  |  2  1  |
|  5 20  | 15 13  |  9 14  |  2  8  | 10 12  | 16 19  |  4  1  | 11 18  |  6 17  |  3  7  |
---------------------------------------------------------------------------------------------------------------
