---------------------------------------------------------------------------------------------------------------
|  3 14  |  5 20  |  7 19  | 16 15  |  9 10  | 12  1  | 11  8  |  4  6  | 18 17  | 13  2  |
|  4  2  | 10 19  | 16  1  | 12  6  | 15  5  |  9  8  | 14  7  | 11 20  |  3 13  | 17 18  |
| 12 11  | 17  3  |  5 14  |  1  2  | 19  7  | 10 15  |  4  6  | 13 18  | 20 16  |  9  8  |
|  5 17  | 15 14  |  9  4  | 13  3  |  8  1  | 19 18  | 10 16  |  7 12  | 11  2  | 20  6  |
| 16 15  |  2 11  |  3 17  | 14  4  | 18 20  |  7  5  |  1 13  |  8 10  |  6  9  | 19 12  |
|  1  9  |  6 16  |  2 18  | 10  5  |  3 14  | 13 20  | 19 12  | 15 17  |  4  8  | 11  7  |
| 10 19  |  4  1  |  8 13  |  7 18  | 16 12  | 11  6  | 20 17  |  9  2  | 15  5  |  3 14  |
| 13  8  |  7 12  | 11 10  | 19 20  |  6  4  | 17  2  | 18  9  | 16  3  |  1 14  | 15  5  |
|  6  7  |  9 18  | 12 20  | 11  8  | 13 17  |  4  3  | 15  2  | 14  5  | 10 19  | 16  1  |
| 18 20  |  8 13  |  6 15  |  9 17  |  2 11  | 16 14  |  3  5  |  1 19  |  7 12  | 10  4  |
---------------------------------------------------------------------------------------------------------------
| 15 13  |  3  2  | 20 16  |  4 14  | 17 18  |  8 10  |  5 19  | 12  7  |  9  6  |  1 11  |
|  8 18  | 14  9  | 17  2  |  6 13  |  5  3  | 20 16  |  7  4  | 10  1  | 19 11  | 12 15  |
| 19  4  | 12 10  | 14  5  | 17 11  |  7  8  | 18 13  |  2  3  | 20 15  | 16  1  |  6  9  |
| 20 12  | 11 15  | 18  8  |  5  7  | 14  2  |  1 19  |  6 10  | 17  9  | 13  3  |  4 16  |
|  9  5  | 20  8  | 19  7  |  3 16  | 11 15  |  2 12  | 13  1  |  6  4  | 17 18  | 14 10  |
| 17  6  | 19  5  | 10 11  | 15  9  |  1 16  |  3  7  | 12 20  |  2  8  | 14  4  | 18 13  |
|  7 16  | 18 17  | 15  9  |  2  1  | 20 13  |  6  4  |  8 14  |  3 11  | 12 10  |  5 19  |
|  2  3  |  1  4  | 13  6  |  8 12  | 10  9  | 14 11  | 17 18  | 19 16  |  5 15  |  7 20  |
| 14 10  | 16  7  |  1 12  | 18 19  |  4  6  | 15 17  |  9 11  |  5 13  |  8 20  |  2  3  |
| 11  1  | 13  6  |  4  3  | 20 10  | 12 19  |  5  9  | 16 15  | 18 14  |  2  7  |  8 17  |
---------------------------------------------------------------------------------------------------------------
