---------------------------------------------------------------------------------------------------------------
| 11 14  | 15 10  |  4  2  |  8  9  |  5 18  |  7 20  | 16  6  | 13 19  |  3 12  | 17  1  |
| 17  9  |  5 12  | 10 11  |  2 15  |  4  1  | 18  6  |  3 13  | 16  7  | 14 20  | 19  8  |
|  1  6  | 14  4  |  7  8  | 16 19  | 13 20  | 11  5  | 10  2  | 18 17  | 15  9  | 12  3  |
| 18 12  | 16  3  |  9 13  | 10  7  | 19  6  | 15 17  |  4 20  |  5 11  |  8  1  | 14  2  |
| 20 16  | 11 17  | 15  6  | 13  4  |  8  2  | 10  1  |  7 12  |  3 14  | 18 19  |  9  5  |
|  3  7  |  1  9  | 14 20  |  5 17  | 16 12  |  8 13  | 18 19  |  2 10  | 11  6  |  4 15  |
| 15 10  |  2 20  | 19 16  | 11  3  |  9  7  |  4 12  |  5 14  |  1  8  | 13 17  | 18  6  |
|  4 13  |  8 18  | 17  1  | 20 12  | 10  3  | 19 14  | 11 15  |  6  9  |  5  2  | 16  7  |
|  2 19  | 13  7  | 18  5  |  1  6  | 11 14  |  9  3  |  8 17  | 12 15  | 16  4  | 20 10  |
|  8  5  |  6 19  |  3 12  | 14 18  | 17 15  |  2 16  |  1  9  |  4 20  |  7 10  | 11 13  |
---------------------------------------------------------------------------------------------------------------
| 14  8  | 20  1  |  2 17  |  3 10  |  7 13  | 12 18  |  6  5  | 19 16  |  9 11  | 15  4  |
| 13  4  |  7 14  |  1  3  | 17  2  | 12  9  | 20 15  | 19 18  |  8  6  | 10 16  |  5 11  |
| 19  3  |  4 13  | 12 14  |  6  8  |  2 16  |  1 10  | 15 11  |  9 18  | 17  5  |  7 20  |
| 10 18  |  3  8  | 13 15  |  7  5  | 20  4  |  6  9  | 12 16  | 11  2  | 19 14  |  1 17  |
| 12 11  | 19  5  |  8  9  | 15 16  |  3 17  | 14  7  | 20  4  | 10  1  |  2 13  |  6 18  |
| 16  2  | 12  6  |  5 19  | 18 14  |  1 11  |  3  8  | 17 10  |  7  4  | 20 15  | 13  9  |
|  9 15  | 10  2  |  6  7  | 12  1  | 14 19  | 17 11  | 13  3  | 20  5  |  4 18  |  8 16  |
|  5 17  |  9 11  | 16 18  |  4 20  |  6  8  | 13 19  |  2  7  | 15 12  |  1  3  | 10 14  |
|  6  1  | 18 16  | 20  4  |  9 11  | 15 10  |  5  2  | 14  8  | 17 13  | 12  7  |  3 19  |
|  7 20  | 17 15  | 11 10  | 19 13  | 18  5  | 16  4  |  9  1  | 14  3  |  6  8  |  2 12  |
---------------------------------------------------------------------------------------------------------------
