---------------------------------------------------------------------------------------------------------------
| 15  2  | 10 16  |  8 17  |  5 20  | 11  4  |  6 13  | 19 14  |  9  1  | 12  7  |  3 18  |
| 18  3  |  4 13  | 16 14  |  8  2  |  1 19  | 17 10  | 15 11  |  7  5  | 20  9  | 12  6  |
| 14  5  |  2  8  | 18  4  | 19  9  | 10 12  | 11 16  |  3 17  | 15 20  |  1  6  |  7 13  |
|  6 13  | 15 14  | 20  9  | 16 12  |  8 18  |  2  7  |  4  1  | 19  3  | 17 10  | 11  5  |
| 12 20  | 18  7  | 15  2  | 14  1  | 16  9  |  8  4  | 13 10  | 11  6  |  5  3  | 19 17  |
| 19 10  | 20 12  | 13 11  | 17 18  |  7 15  |  1  3  |  6  5  |  4 14  |  8  2  | 16  9  |
|  9  4  |  3 11  |  7 19  | 15 13  |  2  6  |  5 20  |  8 16  | 17 12  | 14 18  |  1 10  |
|  8 17  |  6  5  | 12  1  |  3  4  | 14 13  | 19 15  |  9  7  | 10 18  | 11 16  | 20  2  |
|  7  1  |  9 19  |  5  6  | 11 10  | 17  3  | 18 14  | 12 20  | 16  2  |  4 13  |  8 15  |
| 11 16  | 17  1  |  3 10  |  7  6  |  5 20  |  9 12  | 18  2  | 13  8  | 15 19  |  4 14  |
---------------------------------------------------------------------------------------------------------------
|  1  6  | 14 15  |  9 16  |  2 11  | 20 17  |  3 18  |  5 13  |  8  4  |  7 12  | 10 19  |
| 10 11  |  1 17  | 19 12  | 20  7  |  9  8  |  4  6  | 16 18  |  5 13  |  2 15  | 14  3  |
| 20  9  |  8 10  | 14 15  | 12 17  |  6 11  |  7  1  |  2  4  | 18 19  |  3  5  | 13 16  |
| 16  7  | 13  6  | 11 20  |  9 14  | 12 10  | 15  5  |  1  3  |  2 17  | 19  4  | 18  8  |
|  3  8  | 12 20  | 10 13  |  1 19  | 18  2  | 14  9  |  7 15  |  6 11  | 16 17  |  5  4  |
|  4 12  | 16  9  |  6  7  | 10  3  | 13  5  | 20  2  | 11 19  | 14 15  | 18  8  | 17  1  |
|  5 19  | 11  3  |  1  8  | 18 15  |  4  7  | 13 17  | 10  6  | 20 16  |  9 14  |  2 12  |
| 13 14  |  5  2  |  4 18  |  6  8  | 19  1  | 16 11  | 17 12  |  3  9  | 10 20  | 15  7  |
|  2 18  |  7  4  | 17  3  | 13  5  | 15 16  | 12 19  | 14  8  |  1 10  |  6 11  |  9 20  |
| 17 15  | 19 18  |  2  5  |  4 16  |  3 14  | 10  8  | 20  9  | 12  7  | 13  1  |  6 11  |
---------------------------------------------------------------------------------------------------------------
