---------------------------------------------------------------------------------------------------------------
|  3 18  | 20 10  | 16 12  |  5 14  |  4 19  |  1 11  |  6  2  |  7 13  | 15 17  |  9  8  |
| 11 19  |  7  6  |  8  2  | 12  1  | 14  9  |  4 17  | 16 15  | 20  3  | 13  5  | 10 18  |
| 20  1  |  2 19  |  9 14  | 11 18  | 12  7  |  6  3  | 17 10  | 16  5  |  4  8  | 13 15  |
| 14 12  | 13 11  | 10 20  | 19  2  | 18 17  | 16  8  |  4  5  | 15  6  |  1  9  |  7  3  |
|  7  5  |  3 15  | 18 13  | 10 20  |  2 16  | 19 14  | 12  9  | 17  8  |  6 11  |  1  4  |
| 10 13  |  5 12  |  3 11  |  7  4  | 20  1  |  2 15  | 19  8  |  9 14  | 16 18  |  6 17  |
|  8  6  | 16  9  | 15 19  |  3 17  | 11 10  | 20  7  |  1 13  |  4 18  | 14 12  |  5  2  |
|  9  2  | 14 18  | 17  4  | 16  8  | 15  6  | 13  5  | 20  7  |  1 12  |  3 10  | 11 19  |
| 15 17  |  8  4  |  6  1  | 13  9  |  3  5  | 18 12  | 11 14  | 19 10  |  7  2  | 16 20  |
|  4 16  |  1 17  |  5  7  | 15  6  | 13  8  | 10  9  |  3 18  |  2 11  | 20 19  | 14 12  |
---------------------------------------------------------------------------------------------------------------
| 18 20  | 17  8  |  2 16  | 14 12  |  5  3  | 11 13  | 10  4  |  6  1  | 19  7  | 15  9  |
|  2 14  | 11  5  | 13 15  |  8 19  |  9 12  |  3 16  |  7 17  | 18 20  | 10  6  |  4  1  |
| 16  4  | 10  3  | 19  8  |  1 13  |  7 15  | 12  2  |  5 11  | 14 17  |  9 20  | 18  6  |
|  6 15  | 18 16  | 11  9  |  4  5  | 19 13  |  8 10  |  2 12  |  3  7  | 17  1  | 20 14  |
| 19 11  | 15  7  | 12 18  |  9 10  |  8 20  | 17  6  | 13  1  |  5  4  |  2 14  |  3 16  |
| 13  9  | 19 20  |  7 10  |  2 16  |  1 14  |  5  4  |  8  6  | 12 15  | 18  3  | 17 11  |
|  1 10  |  6 13  | 14 17  | 18 11  | 16  4  |  7 20  |  9  3  |  8 19  | 12 15  |  2  5  |
|  5  7  |  4  2  |  1  6  | 20  3  | 17 18  | 14 19  | 15 16  | 11  9  |  8 13  | 12 10  |
| 17  3  | 12 14  | 20  5  |  6 15  | 10  2  |  9  1  | 18 19  | 13 16  | 11  4  |  8  7  |
| 12  8  |  9  1  |  4  3  | 17  7  |  6 11  | 15 18  | 14 20  | 10  2  |  5 16  | 19 13  |
---------------------------------------------------------------------------------------------------------------
