---------------------------------------------------------------------------------------------------------------
| 15 13  | 14 20  | 18 10  |  8  3  | 19  9  |  2 11  |  7 12  |  6  4  | 16  5  | 17  1  |
| 12  7  |  9  6  | 19 13  | 18  4  | 11 14  | 20  5  |  2  1  | 10 15  | 17  3  | 16  8  |
| 16 14  | 10 12  | 11  7  |  9  5  | 18  4  | 15  3  | 20 19  |  1 17  |  8  6  | 13  2  |
|  6  8  |  5 17  |  2  4  | 11  7  | 10 20  |  9 16  | 15 13  |  3 12  | 19  1  | 14 18  |
| 19 20  | 11  1  | 15 14  | 10  2  | 13  3  | 12  4  |  9 17  |  8 16  |  7 18  |  6  5  |
|  2 11  |  4 15  |  5  6  | 19 17  |  7  1  | 10 18  |  8 16  | 13  9  | 12 14  |  3 20  |
|  5  1  |  7  2  | 12  8  | 16  6  | 17 15  | 19 14  | 11  3  | 20 18  |  9 13  | 10  4  |
| 17 18  | 19  3  |  9 20  | 12 14  | 16  8  |  1 13  | 10  6  |  5  7  |  2  4  | 15 11  |
|  3  4  | 16  8  | 17  1  | 13 15  | 12  2  |  6  7  | 18  5  | 11 14  | 10 20  |  9 19  |
| 10  9  | 13 18  |  3 16  | 20  1  |  6  5  |  8 17  | 14  4  |  2 19  | 11 15  |  7 12  |
---------------------------------------------------------------------------------------------------------------
|  9 17  |  2 19  |  1  3  |  7 20  |  8  6  | 11 12  | 13 14  | 15  5  |  4 16  | 18 10  |
| 20  5  |  3  7  |  4 11  | 17 19  |  2 12  | 13  1  | 16 15  |  9  6  | 18 10  |  8 14  |
| 11  3  | 15  5  |  6  9  | 14  8  | 20 16  | 18 10  | 12  7  | 17  2  |  1 19  |  4 13  |
|  7 12  |  8 16  | 20 18  | 15  9  |  1 17  |  4  6  | 19 10  | 14 13  |  5 11  |  2  3  |
| 18 19  | 17 13  |  7  5  |  6 11  |  9 10  | 16 20  |  1  8  |  4  3  | 14  2  | 12 15  |
| 14 10  | 12  9  |  8  2  |  4 18  | 15 11  | 17 19  |  3 20  | 16  1  | 13  7  |  5  6  |
|  8 16  |  1  4  | 10 17  |  3 12  |  5 13  | 14  2  |  6 18  | 19 20  | 15  9  | 11  7  |
|  1 15  | 20 11  | 16 12  |  5 13  | 14 18  |  3  8  |  4  2  |  7 10  |  6 17  | 19  9  |
| 13  2  |  6 10  | 14 15  |  1 16  |  4 19  |  7  9  |  5 11  | 18  8  |  3 12  | 20 17  |
|  4  6  | 18 14  | 13 19  |  2 10  |  3  7  |  5 15  | 17  9  | 12 11  | 20  8  |  1 16  |
---------------------------------------------------------------------------------------------------------------
