---------------------------------------------------------------------------------------------------------------
|  1 15  |  4 17  |  9  8  | 20  7  | 16  3  | 12 10  | 14 13  | 18  2  |  5 11  |  6 19  |
|  7 13  |  9 19  |  3  2  | 14  8  |  1  4  | 16  6  | 15 17  | 20 10  | 18 12  |  5 11  |
|  4 14  | 18  5  | 17  1  |  3 16  |  8  2  | 15 13  |  6 19  | 12 11  | 10  7  | 20  9  |
| 17 11  |  1 14  |  4 15  | 18 12  |  9 19  |  5  2  | 16  3  |  6 13  | 20  8  |  7 10  |
| 10 19  | 11  6  | 18  7  | 17 15  | 14  5  |  8  3  |  4 20  | 16  1  | 13  9  | 12  2  |
| 16 12  |  2 20  | 13 11  |  1  5  | 17 18  |  7  9  | 10  8  |  4 19  |  3  6  | 15 14  |
|  2  9  | 12 15  | 10  5  |  4 11  |  6  7  | 14 20  |  1 18  |  8  3  | 16 19  | 13 17  |
|  8  6  | 16 13  | 19 12  |  2  9  | 20 10  | 18  1  |  7 11  | 14  5  | 17 15  |  3  4  |
| 18  5  | 10  3  | 16 20  | 19  6  | 15 13  |  4 11  |  9 12  |  7 17  | 14  2  |  8  1  |
| 20  3  |  7  8  |  6 14  | 13 10  | 11 12  | 19 17  |  2  5  |  9 15  |  4  1  | 16 18  |
---------------------------------------------------------------------------------------------------------------
| 15  7  |  3 11  | 14 10  |  9  4  | 13  8  |  1  5  | 17 16  | 19 20  | 12 18  |  2  6  |
| 14 16  | 17  2  | 20 18  | 15  1  |  3  6  | 13 19  |  8  4  |  5 12  |  9 10  | 11  7  |
| 19  1  | 20 10  |  5 16  |  7 18  |  4 14  |  3 15  | 12  2  | 17  6  | 11 13  |  9  8  |
|  5 10  | 19  4  |  7 13  | 12 14  | 18 15  | 20  8  |  3  6  | 11  9  |  2 17  |  1 16  |
| 13 20  |  8 18  |  2 19  | 11 17  | 12  1  |  6 14  |  5  9  |  3  4  |  7 16  | 10 15  |
|  9 18  | 13 16  |  8 17  |  5 19  | 10 11  |  2  7  | 20 15  |  1 14  |  6  3  |  4 12  |
| 11  4  | 14  7  | 15  6  | 10 13  |  5 17  |  9 12  | 19  1  |  2 16  |  8 20  | 18  3  |
|  3  2  |  6 12  |  1  4  | 16 20  |  7  9  | 17 18  | 11 14  | 10  8  | 15  5  | 19 13  |
| 12  8  |  5  1  | 11  9  |  6  3  |  2 16  | 10  4  | 13  7  | 15 18  | 19 14  | 17 20  |
|  6 17  | 15  9  | 12  3  |  8  2  | 19 20  | 11 16  | 18 10  | 13  7  |  1  4  | 14  5  |
---------------------------------------------------------------------------------------------------------------
