---------------------------------------------------------------------------------------------------------------
|  2 20  | 12 18  | 14 17  |  1 10  |  3 11  | 15 16  | 19  7  |  4  6  | 13  9  |  8  5  |
| 13 17  | 16  3  | 18 12  | 15  9  |  2  1  | 10  5  | 14  8  | 20 11  |  4 19  |  6  7  |
| 15 14  | 17 19  | 16  7  | 12  4  | 18 10  |  2 11  |  1  3  | 13  5  |  8  6  |  9 20  |
| 12  4  | 20  2  | 19 11  | 17 14  | 16  7  |  1 18  | 10  6  |  9  8  |  5 15  | 13  3  |
| 10  9  |  4 14  |  2 13  | 19  6  | 12 20  |  7  8  |  5 15  |  1 16  | 11  3  | 18 17  |
| 18 16  | 15  1  |  9  3  |  7 13  |  5  8  |  6 19  | 11  2  | 10 14  | 20 17  |  4 12  |
| 19  6  | 13  9  | 15 20  |  8  5  |  4 14  | 12  3  | 18 17  |  7  2  |  1 10  | 11 16  |
|  8  5  |  6  7  | 10  4  |  2 11  | 15 19  | 20  9  | 13 16  |  3 17  | 12 18  |  1 14  |
| 11  3  |  8  5  |  1  6  | 18 16  |  9 13  |  4 17  | 20 12  | 15 19  |  7 14  | 10  2  |
|  7  1  | 10 11  |  8  5  | 20  3  |  6 17  | 13 14  |  4  9  | 12 18  | 16  2  | 15 19  |
---------------------------------------------------------------------------------------------------------------
| 17 10  |  2 12  |  4  1  |  3 19  |  7  6  | 11 15  |  8 13  |  5 20  |  9 16  | 14 18  |
|  9 11  |  1  4  | 20 18  | 16 15  | 10 12  |  8  6  |  3 14  |  2  7  | 19  5  | 17 13  |
|  1 12  | 11 15  |  7 19  | 13 20  |  8  2  | 18 10  |  6  5  | 14  3  | 17  4  | 16  9  |
|  3  7  | 19 13  | 12  8  | 11 17  | 20 15  | 14  4  | 16 10  | 18  9  |  2  1  |  5  6  |
| 20 13  |  5 16  | 11 14  | 10  2  | 19 18  |  3  7  |  9  1  | 17  4  |  6  8  | 12 15  |
| 16 19  | 18 20  |  3 15  |  6 12  | 11  9  |  5  1  | 17  4  |  8 13  | 14  7  |  2 10  |
|  6 18  |  9 10  | 17  2  | 14  8  | 13  5  | 19 12  |  7 11  | 16  1  | 15 20  |  3  4  |
|  4  2  |  3  6  | 13  9  |  5  1  | 14 16  | 17 20  | 12 18  | 19 15  | 10 11  |  7  8  |
|  5 15  | 14  8  |  6 16  |  4  7  | 17  3  |  9 13  |  2 19  | 11 10  | 18 12  | 20  1  |
| 14  8  |  7 17  |  5 10  |  9 18  |  1  4  | 16  2  | 15 20  |  6 12  |  3 13  | 19 11  |
---------------------------------------------------------------------------------------------------------------
