---------------------------------------------------------------------------------------------------------------
|  5  2  | 19 10  | 17  8  | 12  1  |  3 13  | 11 18  | 16  6  | 20  4  |  7 14  |  9 15  |
| 12  4  |  2 20  | 14 10  | 17 18  | 11  8  |  5  9  | 15  3  | 16 19  |  6  1  |  7 13  |
|  3  6  | 12 11  | 16  5  |  8 10  | 18  7  | 13 14  |  9  2  | 17  1  | 19 15  | 20  4  |
|  9 18  |  6  5  | 20 13  | 14  4  | 10  1  |  8 17  | 11 12  | 15  7  | 16  3  | 19  2  |
| 19 14  |  7  3  | 12 11  |  6  5  |  9  4  | 10 15  |  1 17  |  2 18  | 13 20  | 16  8  |
|  8 17  | 14  1  | 19  6  |  3 20  |  5 15  | 16  7  | 18 13  |  9 11  |  4  2  | 12 10  |
| 16 11  | 17  4  |  7  2  | 19 15  | 14 20  |  1  3  |  5  8  | 10 13  |  9 12  |  6 18  |
|  1 13  | 18 16  |  3 15  |  9  7  | 17 19  | 20  2  | 10  4  |  6 12  | 11  8  | 14  5  |
| 10 15  | 13  8  |  1  9  | 16  2  |  6 12  | 19  4  | 20  7  |  5 14  | 18 17  | 11  3  |
| 20  7  | 15  9  |  4 18  | 13 11  | 16  2  | 12  6  | 19 14  |  3  8  | 10  5  | 17  1  |
---------------------------------------------------------------------------------------------------------------
| 14  9  |  8  6  | 11  3  |  7 16  | 15 18  |  2  1  | 13 20  | 12 10  | 17  4  |  5 19  |
|  7  1  | 10 14  | 13 17  |  5  8  | 12  6  | 15 20  |  2  9  | 18 16  |  3 19  |  4 11  |
|  2 12  |  3 15  | 18  1  | 11  6  | 13 16  |  9 10  |  4 19  | 14 17  |  5  7  |  8 20  |
| 17  8  |  9 19  |  2 12  | 10 13  |  1  3  | 18 11  |  7  5  |  4 20  | 14 16  | 15  6  |
| 11 16  | 20 17  | 15  4  | 18 12  |  8 10  |  3  5  | 14  1  | 19  9  |  2  6  | 13  7  |
| 15 10  | 16 12  |  9 19  |  1 17  |  2  5  |  4 13  |  8 18  |  7  6  | 20 11  |  3 14  |
|  6 20  | 11  2  |  8 16  |  4  3  | 19 14  |  7 12  | 17 15  | 13  5  |  1 18  | 10  9  |
| 13  3  |  5  7  | 10 20  |  2 14  |  4 11  |  6 19  | 12 16  |  1 15  |  8  9  | 18 17  |
| 18  5  |  4 13  |  6 14  | 20 19  |  7  9  | 17 16  |  3 11  |  8  2  | 15 10  |  1 12  |
|  4 19  |  1 18  |  5  7  | 15  9  | 20 17  | 14  8  |  6 10  | 11  3  | 12 13  |  2 16  |
---------------------------------------------------------------------------------------------------------------
