---------------------------------------------------------------------------------------------------------------
|  8 17  | 14  5  | 20 11  | 18 10  | 19 15  | 16  2  |  3  7  |  4  6  |  1 13  | 12  9  |
|  6 11  |  7  3  | 12 13  |  2  8  | 18  9  | 15  5  | 14 19  | 20  1  | 10 16  | 17  4  |
| 12 20  |  4 10  | 14 18  |  7 16  | 13  5  | 19  9  | 15  6  | 11  2  | 17  3  |  8  1  |
|  5 14  | 11 16  | 10  9  | 20 12  |  7  3  | 18 17  |  8  1  | 15 19  |  6  4  | 13  2  |
| 13  1  | 20 19  |  6  4  | 11 14  | 16 10  |  8  3  | 18  9  | 17 12  |  2 15  |  7  5  |
|  9 18  |  1 12  | 16  5  |  3  4  | 14 20  | 10 11  |  2 17  |  8 13  | 19  7  |  6 15  |
|  3 19  | 13 18  |  1 15  |  9 17  | 11  2  |  6 20  | 12  4  | 16  7  |  8  5  | 14 10  |
| 15 10  |  8 17  |  2  3  |  5  1  | 12  6  |  7  4  | 16 13  | 18  9  | 20 14  | 19 11  |
| 16  2  |  6  9  | 17  7  | 15 19  |  8  4  | 13  1  | 20  5  | 14 10  | 12 11  |  3 18  |
|  7  4  | 15  2  |  8 19  | 13  6  | 17  1  | 14 12  | 11 10  |  3  5  |  9 18  | 20 16  |
---------------------------------------------------------------------------------------------------------------
|  4 16  |  3 11  |  7  1  | 10 20  |  2 12  | 17 14  |  6  8  | 19 15  |  5  9  | 18 13  |
| 18 15  | 12  6  | 19 16  |  1  5  |  9 11  |  3 13  | 17  2  | 10  8  |  7 20  |  4 14  |
| 14  6  | 19 13  |  5 17  |  8  9  |  1 18  | 11 15  | 10  3  | 12 20  |  4  2  | 16  7  |
| 17  7  |  2  4  | 11 14  | 19  3  | 10 13  |  1  8  |  9 16  |  6 18  | 15 12  |  5 20  |
| 11  5  |  9 15  | 13  2  |  4 18  |  3 17  | 20 10  | 19 12  |  7 16  | 14  8  |  1  6  |
| 20 13  | 18  7  | 15 12  | 17  2  |  4 19  |  9 16  |  1 11  |  5 14  |  3  6  | 10  8  |
| 10  3  | 17 20  |  9  8  |  6 11  |  5 14  | 12 18  |  7 15  | 13  4  | 16  1  |  2 19  |
| 19  8  | 16 14  |  4 20  | 12 13  | 15  7  |  2  6  |  5 18  |  1  3  | 11 10  |  9 17  |
|  2 12  | 10  1  | 18  6  | 16  7  | 20  8  |  5 19  |  4 14  |  9 11  | 13 17  | 15  3  |
|  1  9  |  5  8  |  3 10  | 14 15  |  6 16  |  4  7  | 13 20  |  2 17  | 18 19  | 11 12  |
---------------------------------------------------------------------------------------------------------------
