---------------------------------------------------------------------------------------------------------------
| 11  9  |  3 13  |  4 10  | 15  8  |  7 14  | 20  6  |  1 18  | 16 17  | 12 19  |  2  5  |
| 10 14  |  6 16  | 13  8  |  5  7  | 11 17  |  3 18  | 15  4  |  9 20  |  1  2  | 19 12  |
|  6  1  |  9 19  | 12  7  | 10 11  | 15 20  |  4 13  | 17 16  | 18  2  |  8  5  | 14  3  |
| 16  5  |  8  2  |  9 20  |  4 18  | 10 12  | 15  7  | 11  6  |  1 19  |  3 14  | 17 13  |
| 20  7  | 17  4  |  5 18  | 13 12  |  1 19  | 10 16  |  9  2  |  3 14  | 11  6  | 15  8  |
| 13 18  | 10 12  | 17  2  |  3 19  |  8  4  |  9  1  |  5 14  |  6 11  | 16 15  | 20  7  |
|  4 19  |  5 15  |  6 11  | 20  9  |  3 16  |  2 14  | 10  7  | 12  8  | 13 17  |  1 18  |
| 15  8  | 14  7  | 16  3  |  6  1  |  9  2  | 11 17  | 12 19  |  5 13  | 18 20  | 10  4  |
|  3 12  | 11  1  | 15 14  |  2 17  | 18 13  | 19  5  | 20  8  |  7 10  |  9  4  | 16  6  |
|  2 17  | 20 18  | 19  1  | 14 16  |  5  6  |  8 12  | 13  3  |  4 15  | 10  7  | 11  9  |
---------------------------------------------------------------------------------------------------------------
| 12 11  | 15 20  |  3 16  |  9 10  |  2  8  |  1  4  |  7  5  | 14 18  | 19 13  |  6 17  |
| 14  2  | 16 17  | 11  9  | 18  3  | 20 10  |  5  8  |  6  1  | 19  7  |  4 12  | 13 15  |
| 18 13  |  2 14  |  7 12  |  1  6  | 16  3  | 17  9  |  4 11  | 20  5  | 15 10  |  8 19  |
|  8 15  | 19 11  |  2 13  | 12  4  |  6  1  |  7 10  | 16  9  | 17  3  | 20 18  |  5 14  |
|  7  3  |  4  9  | 14  5  |  8 20  | 12 11  | 16 19  |  2 15  | 13  6  | 17  1  | 18 10  |
| 17  4  |  7  8  |  1  6  | 11 15  | 14  9  | 18 20  | 19 13  | 10 16  |  5  3  | 12  2  |
|  1  6  | 18  3  | 10 15  | 16 14  | 19  5  | 13 11  |  8 17  |  2 12  |  7  9  |  4 20  |
|  9 16  |  1  6  | 20 19  | 17  5  | 13  7  | 12  2  | 18 10  | 15  4  | 14  8  |  3 11  |
|  5 20  | 13 10  |  8 17  | 19  2  |  4 18  | 14 15  |  3 12  | 11  9  |  6 16  |  7  1  |
| 19 10  | 12  5  | 18  4  |  7 13  | 17 15  |  6  3  | 14 20  |  8  1  |  2 11  |  9 16  |
---------------------------------------------------------------------------------------------------------------
