---------------------------------------------------------------------------------------------------------------
|  6  5  | 13  9  | 20 11  |  7 14  | 18 17  | 10  3  | 19  2  | 15  8  | 12 16  |  1  4  |
| 13 16  | 12 14  |  1  4  |  8  2  | 10  5  | 17  9  |  7  6  | 11 19  |  3 20  | 18 15  |
| 12  9  |  5  4  | 17  2  | 16 19  |  1 15  |  6 20  |  3 13  | 18  7  | 11 10  |  8 14  |
| 20  8  |  7 11  | 15 18  |  4  3  | 12 19  |  1 14  | 17 10  |  5 16  | 13  6  |  9  2  |
|  2 18  | 16 20  |  5  9  | 12 17  |  8  7  | 15 11  |  1 14  | 10  3  |  4 19  | 13  6  |
|  4  1  | 10  3  | 12 14  | 18 13  | 16  2  |  7 19  | 20  8  |  6 17  | 15  9  | 11  5  |
|  7 14  | 15  1  | 13 16  |  9 10  |  4  6  |  8  2  | 11 18  | 20 12  | 17  5  | 19  3  |
| 11  3  |  2 19  | 10  6  |  5  1  | 20 14  |  4 12  | 15 16  | 13  9  |  8 18  | 17  7  |
| 19 10  |  6 17  |  3  8  | 20 15  |  9 11  | 18 13  |  4  5  |  2  1  |  7 14  | 16 12  |
| 17 15  | 18  8  |  7 19  |  6 11  |  3 13  |  5 16  | 12  9  | 14  4  |  2  1  | 20 10  |
---------------------------------------------------------------------------------------------------------------
| 15 19  |  3 12  | 11  1  | 17  7  |  5 18  | 20 10  |  9  4  | 16  6  | 14  8  |  2 13  |
|  1  6  | 19 10  | 16  3  | 14  9  | 17 12  |  2 18  |  8 15  |  4  5  | 20 13  |  7 11  |
|  5  4  |  9  2  | 19 12  | 11 18  | 14  1  | 13 17  |  6  7  |  3 20  | 16 15  | 10  8  |
|  8 11  |  1  6  |  9 15  | 19  5  |  7  3  | 14  4  | 18 20  | 17 13  | 10  2  | 12 16  |
| 14  2  |  4 13  | 18 20  |  3 12  | 19  8  |  9  5  | 16 17  |  7 10  |  6 11  | 15  1  |
|  9 17  | 14 16  |  6 10  | 15 20  | 11  4  | 19  8  | 13  3  | 12  2  |  1  7  |  5 18  |
| 10 20  | 17  5  |  2  7  |  1  4  | 13  9  | 16 15  | 14 12  |  8 11  | 18  3  |  6 19  |
| 18  7  | 11 15  |  4 13  | 10  8  |  2 16  | 12  6  |  5 19  |  1 14  |  9 17  |  3 20  |
| 16 12  | 20  7  |  8 17  | 13  6  | 15 10  |  3  1  |  2 11  | 19 18  |  5  4  | 14  9  |
|  3 13  |  8 18  | 14  5  |  2 16  |  6 20  | 11  7  | 10  1  |  9 15  | 19 12  |  4 17  |
---------------------------------------------------------------------------------------------------------------
