---------------------------------------------------------------------------------------------------------------
| 16 15  |  4 10  | 20  2  |  3  8  |  6 13  | 12 18  | 19 14  |  5  9  |  7 17  |  1 11  |
|  3 13  |  7  1  |  8 18  | 16 14  | 15 19  |  5  9  | 17 11  | 12 20  |  2  6  |  4 10  |
| 10  7  |  2 19  |  1  3  |  6 18  | 11 17  | 13  8  |  4  5  | 15 14  |  9 20  | 12 16  |
| 12 17  | 20  8  | 15  5  |  2 19  |  3 10  | 14 11  |  9 16  |  6 18  |  1  4  |  7 13  |
| 20  8  |  3 12  | 13  4  | 10 17  |  9 18  |  7  2  | 15  6  | 19  1  | 11 16  |  5 14  |
|  4  9  | 15  5  | 10 11  | 20 13  |  2 14  |  3 19  |  1  8  | 16  7  | 12 18  |  6 17  |
|  1 14  | 18 16  | 12  6  |  4 15  |  8 20  | 10 17  |  3  7  |  2 11  |  5 13  |  9 19  |
|  6 19  |  9 13  | 17  7  |  5 11  |  4  1  | 15 16  |  2 12  |  3  8  | 14 10  | 20 18  |
| 18  2  | 17 11  | 14  9  |  7 12  |  5 16  |  6  1  | 10 20  |  4 13  |  3 19  |  8 15  |
| 11  5  | 14  6  | 19 16  |  9  1  | 12  7  | 20  4  | 18 13  | 17 10  | 15  8  |  3  2  |
---------------------------------------------------------------------------------------------------------------
| 15 11  | 10  4  |  3  8  | 17  7  | 16  9  |  2 20  |  5 18  | 14 12  | 19  1  | 13  6  |
|  9  3  |  1 14  |  4 19  | 18  6  | 17 11  |  8 15  | 12  2  | 13  5  | 16  7  | 10 20  |
|  8 18  |  6 20  | 16 10  | 12  2  |  1 15  | 11  7  | 13 19  |  9  4  | 17  3  | 14  5  |
| 14 16  |  8  9  | 18 12  | 11  3  |  7  5  | 17 10  | 20 15  |  1  6  | 13  2  | 19  4  |
|  7  6  |  5  2  | 11 13  | 19  4  | 18  3  | 16 12  | 14  1  | 20 15  | 10  9  | 17  8  |
| 19  4  | 13 18  |  2 14  | 15  9  | 10  8  |  1  5  |  6 17  | 11  3  | 20 12  | 16  7  |
|  2 10  | 16 15  |  9 20  | 13  5  | 14 12  | 19  3  |  7  4  |  8 17  |  6 11  | 18  1  |
| 13 20  | 11  7  |  6 17  |  1 16  | 19  4  |  9 14  |  8  3  | 10  2  | 18  5  | 15 12  |
| 17  1  | 12  3  |  5 15  |  8 20  | 13  2  | 18  6  | 16 10  |  7 19  |  4 14  | 11  9  |
|  5 12  | 19 17  |  7  1  | 14 10  | 20  6  |  4 13  | 11  9  | 18 16  |  8 15  |  2  3  |
---------------------------------------------------------------------------------------------------------------
