---------------------------------------------------------------------------------------------------------------
| 16 19  | 14 10  |  5 17  |  4 15  |  3 12  |  2  8  | 18 11  |  1  7  | 13  9  | 20  6  |
|  7 18  | 19 15  | 12  8  |  3  9  | 10  1  |  6 13  | 20  2  | 11 17  |  4  5  | 14 16  |
|  9  1  |  7 12  | 14  2  |  8 18  |  6 19  | 15 17  |  4 13  | 16 10  | 20 11  |  3  5  |
|  4 12  |  2  6  | 19  3  | 14 16  |  8 18  | 11  7  |  1 17  | 20  5  | 10 15  |  9 13  |
| 17  5  | 16  9  | 15  4  | 12  6  | 11 14  |  3 20  |  8 10  | 13 18  |  1  2  |  7 19  |
| 15 10  |  1 18  |  7 20  | 13  2  |  4  9  | 12 14  |  3  5  |  8 19  | 16  6  | 11 17  |
| 11 20  |  3 13  | 16 18  | 17  5  | 15  2  |  9 10  | 14  6  |  4 12  | 19  7  |  1  8  |
| 14  8  | 17 20  |  1 11  |  7 10  | 16 13  | 18  5  | 19 15  |  6  9  |  3 12  |  4  2  |
| 13  3  |  4  8  | 10  6  | 19 11  |  5 20  | 16  1  |  9  7  | 14  2  | 18 17  | 15 12  |
|  2  6  |  5 11  | 13  9  | 20  1  |  7 17  |  4 19  | 16 12  |  3 15  |  8 14  | 10 18  |
---------------------------------------------------------------------------------------------------------------
| 12 17  | 20  3  |  8 10  | 18  4  | 13  5  |  7 11  |  2 14  | 19  1  | 15 16  |  6  9  |
|  8  2  | 11  4  |  6 19  |  1 20  | 12  3  | 17  9  |  5 16  | 10 14  |  7 13  | 18 15  |
|  1 15  | 12 19  | 20  5  | 10 14  |  2  6  |  8  4  | 13  9  |  7  3  | 17 18  | 16 11  |
| 10 11  |  6  1  |  3 12  | 16 13  | 20  4  | 14 15  | 17 18  |  9  8  |  5 19  |  2  7  |
|  3 13  | 15 14  | 17  7  | 11 19  | 18 10  | 20 12  |  6  4  |  2 16  |  9  8  |  5  1  |
| 18 16  | 13  5  | 11 14  | 15 12  |  9  8  | 10  2  |  7 20  | 17  4  |  6  1  | 19  3  |
| 20  7  | 18 16  |  2  1  |  9 17  | 14 11  | 13  3  | 15 19  |  5  6  | 12  4  |  8 10  |
| 19 14  |  8  7  |  9 13  |  6  3  | 17 15  |  5 16  | 11  1  | 18 20  |  2 10  | 12  4  |
|  5  4  |  9 17  | 18 15  |  2  7  | 19 16  |  1  6  | 10  8  | 12 11  | 14  3  | 13 20  |
|  6  9  | 10  2  |  4 16  |  5  8  |  1  7  | 19 18  | 12  3  | 15 13  | 11 20  | 17 14  |
---------------------------------------------------------------------------------------------------------------
