---------------------------------------------------------------------------------------------------------------
| 13  9  | 20  2  | 15 16  |  1  5  |  6 19  |  8 12  | 10 14  |  4  3  |  7 11  | 17 18  |
|  2  8  |  9 14  | 13 20  |  4 10  |  7  1  |  6  3  | 12 15  | 18 11  |  5 17  | 19 16  |
|  4  3  | 13 10  |  2  6  | 17 19  |  9 16  | 11 18  |  7  1  | 20  5  | 14 12  |  8 15  |
|  5 11  |  8 19  |  9 14  | 20 18  |  4  2  |  1  7  | 16  3  |  6 17  | 10 15  | 12 13  |
| 17 10  |  4 16  |  5 12  |  2  3  | 20 15  | 19  9  | 11 13  |  7 14  |  8 18  |  6  1  |
| 15  7  | 17  5  | 11  1  | 12  8  |  3 13  |  4  2  |  6 18  | 10 19  | 20 16  | 14  9  |
| 19 20  | 11  1  | 10  8  | 16 15  |  5 18  | 13 14  |  9 17  | 12  2  |  3  6  |  7  4  |
|  6 18  |  3 12  |  7 19  | 11  9  | 10 14  | 16 17  | 20  8  | 15 13  |  4  1  |  5  2  |
| 16  1  | 15  6  |  4 18  |  7 14  | 12 17  | 20 10  | 19  5  |  9  8  | 13  2  |  3 11  |
| 14 12  |  7 18  | 17  3  |  6 13  | 11  8  |  5 15  |  2  4  | 16  1  |  9 19  | 20 10  |
---------------------------------------------------------------------------------------------------------------
| 18  6  | 10  7  | 19  5  |  9 20  | 16  3  | 15  8  | 14 11  |  2 12  |  1 13  |  4 17  |
|  9  4  | 14 20  | 16 11  | 19  1  |  8 12  | 10  5  |  3  2  | 13 18  | 17  7  | 15  6  |
| 20 17  | 16 13  | 14 10  |  5 11  |  1  6  |  9 19  |  8 12  |  3 15  | 18  4  |  2  7  |
|  8  5  | 12 11  | 20 17  | 10 16  | 19  9  | 18  4  | 15  7  |  1  6  |  2  3  | 13 14  |
|  7 19  |  1  8  |  6 13  | 14  2  | 18 20  |  3 16  |  5 10  | 17  4  | 15  9  | 11 12  |
| 10  2  | 19  4  | 12  7  | 13  6  | 15 11  | 14  1  | 17  9  |  8 20  | 16  5  | 18  3  |
| 12 16  |  2  9  | 18 15  |  3  7  | 13  5  | 17 20  |  4 19  | 11 10  |  6 14  |  1  8  |
|  1 15  |  5 17  |  3  9  | 18 12  | 14  4  |  2  6  | 13 16  | 19  7  | 11  8  | 10 20  |
| 11 14  | 18  3  |  8  4  | 15 17  |  2 10  |  7 13  |  1  6  |  5  9  | 12 20  | 16 19  |
|  3 13  |  6 15  |  1  2  |  8  4  | 17  7  | 12 11  | 18 20  | 14 16  | 19 10  |  9  5  |
---------------------------------------------------------------------------------------------------------------
