---------------------------------------------------------------------------------------------------------------
|  6  5  | 12 15  | 10 18  | 11  8  |  9 14  | 13  1  |  7 20  |  4 17  | 16 19  |  2  3  |
|  2  8  |  1 17  | 14 12  | 13  9  | 20 18  | 19 16  | 11  3  | 15 10  |  4  5  |  6  7  |
| 20 18  | 10 16  | 15  7  | 12 19  |  8  5  |  4  2  | 13  6  |  3  9  | 14 17  | 11  1  |
| 11  1  | 14 18  |  9 17  | 15  7  | 12  3  | 20  8  |  4  5  | 16 13  |  2  6  | 19 10  |
|  7  3  |  8  2  | 16 13  | 20 10  | 11  6  |  9 18  | 12 14  | 19  5  | 15  1  |  4 17  |
| 13 19  |  9  3  |  1 20  | 18  4  | 10  7  | 14 12  | 16 17  |  6  2  |  8 11  |  5 15  |
| 14  4  |  7  6  |  8 11  |  1 16  |  2 17  | 10  5  | 19 15  | 20 12  |  3 13  |  9 18  |
| 12 15  | 11 20  |  3  5  | 17  2  | 19  4  |  7  6  | 10  8  | 14  1  | 18  9  | 13 16  |
|  9 17  | 19  5  |  2  4  |  3  6  | 13 16  | 11 15  | 18  1  |  8  7  | 10 20  | 12 14  |
| 16 10  | 13  4  |  6 19  | 14  5  | 15  1  |  3 17  |  9  2  | 18 11  | 12  7  |  8 20  |
---------------------------------------------------------------------------------------------------------------
|  1 11  |  6 12  |  5  3  |  4 17  | 18 20  |  2  7  |  8  9  | 10 14  | 19 16  | 15 13  |
| 10 12  |  2 19  | 17  9  |  5  3  |  6 13  |  1 14  | 20  4  |  7 16  | 11 15  | 18  8  |
| 18  2  |  3  9  | 11 16  |  8 13  | 17 19  | 12 20  |  1 10  |  5 15  |  7  4  | 14  6  |
|  3  9  | 16 10  | 19  6  |  2 14  |  4  8  |  5 11  | 15  7  | 13 20  |  1 18  | 17 12  |
|  8 13  | 18  1  | 20  2  |  9 11  |  7 12  | 15 10  | 14 19  | 17  4  |  6  3  | 16  5  |
| 15  6  | 20 13  |  7 10  | 19  1  |  5  2  | 16  4  | 17 18  | 12  8  |  9 14  |  3 11  |
|  4 20  | 15 14  | 13  8  | 10 18  |  1  9  |  6  3  |  5 16  | 11 19  | 17 12  |  7  2  |
| 19 14  |  4 11  | 18  1  |  7 20  | 16 15  | 17 13  |  6 12  |  2  3  |  5  8  | 10  9  |
|  5  7  | 17  8  | 12 14  | 16 15  |  3 11  | 18 19  |  2 13  |  9  6  | 20 10  |  1  4  |
| 17 16  |  5  7  |  4 15  |  6 12  | 14 10  |  8  9  |  3 11  |  1 18  | 13  2  | 20 19  |
---------------------------------------------------------------------------------------------------------------
