---------------------------------------------------------------------------------------------------------------
| 17 12  |  8  4  | 13  1  | 14  3  |  9 16  | 20  6  | 11 19  | 18  7  | 10 15  |  2  5  |
|  2  7  | 10  9  |  8 18  | 12 15  | 11 13  | 14  4  | 20  5  | 19  1  | 17 16  |  3  6  |
| 20  9  | 17 15  | 19  2  | 18  5  |  3  8  | 10 13  | 14  4  | 11  6  |  1 12  | 16  7  |
|  8 16  |  3  6  | 17 14  | 10 19  | 18  7  | 15  1  | 13  2  | 20  4  |  9  5  | 12 11  |
| 19 18  | 11 14  |  7 10  |  9 13  |  6 12  |  3 16  |  8 15  |  2  5  |  4 20  | 17  1  |
|  3  6  |  2 16  |  4  5  |  7 17  | 14 15  | 18 11  |  1 10  | 13 12  | 19  8  | 20  9  |
|  4 13  | 19 12  | 16 11  |  2  6  | 20  1  |  8  5  | 18  9  | 15 17  |  3  7  | 10 14  |
| 15  5  | 20  7  |  3  6  |  4  1  | 10 19  |  9 12  | 16 17  | 14  8  | 11  2  | 18 13  |
| 10 14  | 13  1  | 15 12  | 11 20  |  4  5  |  2 17  |  3  7  |  9 16  | 18  6  |  8 19  |
| 11  1  |  5 18  | 20  9  |  8 16  |  2 17  |  7 19  |  6 12  | 10  3  | 14 13  |  4 15  |
---------------------------------------------------------------------------------------------------------------
| 14  8  | 12 13  |  2 20  | 16 10  | 19  4  | 17 18  |  5  1  |  6 11  | 15  9  |  7  3  |
|  5 20  |  6 10  |  9  7  | 17 11  |  1 18  | 16  8  |  4  3  | 12 19  | 13 14  | 15  2  |
| 16  2  |  1  8  |  6 15  | 20  7  | 12 10  | 11  3  | 17 14  |  4  9  |  5 19  | 13 18  |
| 18 17  |  4  5  | 10 13  | 19  2  |  8  9  | 12 15  |  7 16  |  1 14  |  6  3  | 11 20  |
|  1  4  | 16 17  | 14 19  | 13 18  |  5 11  |  6 20  | 15  8  |  3  2  |  7 10  |  9 12  |
|  7 11  | 18  2  |  1  4  |  5  8  | 15  3  | 13 14  |  9  6  | 16 20  | 12 17  | 19 10  |
|  9 19  |  7  3  | 12  8  |  6  4  | 13 20  |  1 10  |  2 11  |  5 15  | 16 18  | 14 17  |
| 13 15  |  9 20  | 11 16  |  3 12  | 17 14  |  5  2  | 19 18  |  7 10  |  8  1  |  6  4  |
|  6 10  | 14 11  |  5  3  | 15  9  | 16  2  | 19  7  | 12 13  | 17 18  | 20  4  |  1  8  |
| 12  3  | 15 19  | 18 17  |  1 14  |  7  6  |  4  9  | 10 20  |  8 13  |  2 11  |  5 16  |
---------------------------------------------------------------------------------------------------------------
