---------------------------------------------------------------------------------------------------------------
| 18  6  | 14  7  | 16 13  | 15 20  |  2 19  |  5 11  |  4  3  |  1 17  | 10 12  |  8  9  |
| 11 15  | 18  9  | 10 17  |  1 14  | 20  8  | 19  3  | 13  7  | 16  4  |  6  5  | 12  2  |
| 16  5  |  4 12  | 11  2  | 13 18  | 15  9  | 20  6  | 19  1  |  3  7  |  8 14  | 17 10  |
|  8  3  |  1 17  | 18  6  |  4 16  | 13 14  |  9 12  |  2 11  |  5 10  | 15 20  |  7 19  |
| 20  4  | 16 13  |  5 15  | 10 17  | 18  6  | 14  2  |  9 12  | 19  8  |  1  7  | 11  3  |
| 13 17  | 20  5  |  3  8  | 19 12  | 11  7  | 16 10  | 14  6  |  2  9  |  4 18  | 15  1  |
| 14  9  |  2 15  | 20 12  |  7 11  |  4  3  | 13  1  | 10  8  |  6 18  | 19 17  |  5 16  |
|  2 12  |  3  6  | 19  4  |  5  9  | 10  1  |  8  7  | 20 17  | 14 15  | 16 11  | 13 18  |
| 19 10  |  8 11  |  7  1  |  3  6  | 12 17  | 15 18  | 16  5  | 13 20  |  2  9  | 14  4  |
|  1  7  | 10 19  | 14  9  |  2  8  | 16  5  | 17  4  | 18 15  | 12 11  | 13  3  | 20  6  |
---------------------------------------------------------------------------------------------------------------
| 10 14  | 17  8  |  1  5  | 11  4  |  6 18  |  7 13  | 15  9  | 20 19  |  3  2  | 16 12  |
|  3 18  | 15  4  |  2 14  |  6  1  |  5 16  | 10 17  |  8 13  |  7 12  | 11 19  |  9 20  |
| 12 20  | 13  1  |  6 16  | 18 15  |  3  4  |  2  5  | 17 19  | 11 14  |  9  8  | 10  7  |
| 17 16  | 19 18  |  4  3  | 14  5  |  1 10  | 11  8  | 12 20  |  9  2  |  7 13  |  6 15  |
|  4  2  |  7 10  | 13 18  | 12  3  | 19 11  |  6  9  |  5 14  |  8 16  | 20 15  |  1 17  |
|  7 13  | 12  3  | 17 10  | 16  2  |  9 20  |  4 14  | 11 18  | 15  6  |  5  1  | 19  8  |
|  9  8  |  6 14  | 12  7  | 20 13  | 17 15  |  1 19  |  3 10  |  4  5  | 18 16  |  2 11  |
|  6  1  |  9  2  | 15 11  | 17 19  |  8 12  |  3 20  |  7 16  | 10 13  | 14  4  | 18  5  |
| 15 11  |  5 20  |  8 19  |  9 10  |  7 13  | 18 16  |  1  2  | 17  3  | 12  6  |  4 14  |
|  5 19  | 11 16  |  9 20  |  8  7  | 14  2  | 12 15  |  6  4  | 18  1  | 17 10  |  3 13  |
---------------------------------------------------------------------------------------------------------------
