---------------------------------------------------------------------------------------------------------------
|  1 17  |  7 10  | 19  5  | 18  3  | 15 13  |  4 12  | 20 11  |  9  2  | 14  6  |  8 16  |
| 20 16  | 12  8  |  7  9  |  4 14  | 10 19  | 15  3  |  2  5  | 18 11  | 17 13  |  6  1  |
|  9 13  |  4  1  |  6 11  | 17  8  |  5  2  | 18 14  | 12 16  | 20  3  | 15 19  |  7 10  |
| 18  8  | 13 11  | 10  4  |  9  6  | 16 14  |  2 20  | 15 17  | 12  1  |  7  5  | 19  3  |
| 11 12  |  6 19  |  1 16  | 15  2  |  4 17  |  5  9  |  3  7  | 13  8  | 20 10  | 14 18  |
| 15  2  |  5 16  | 12 17  | 20 10  |  1 11  | 19  7  |  4 18  |  6 14  |  8  3  | 13  9  |
| 10  7  | 15 17  | 13  8  | 16  1  |  3 18  |  6 11  | 19 14  |  4  5  | 12  9  | 20  2  |
|  6  3  | 18  2  | 15 14  |  7 13  | 12 20  | 17 16  |  9  8  | 19 10  | 11  1  |  5  4  |
| 14  5  |  3  9  | 18 20  | 12 19  |  7  6  | 13  8  | 10  1  | 17 16  |  4  2  | 11 15  |
|  4 19  | 20 14  |  2  3  |  5 11  |  9  8  | 10  1  |  6 13  |  7 15  | 18 16  | 12 17  |
---------------------------------------------------------------------------------------------------------------
|  3 14  | 19  7  |  8 18  | 13  4  |  2 10  |  1  5  | 11 20  | 16 12  |  9 15  | 17  6  |
| 12  1  | 17  3  |  9  7  |  8 18  | 19 16  | 11  2  | 14  4  |  5  6  | 10 20  | 15 13  |
| 17 15  | 10 20  |  5  1  | 19  9  | 18  4  | 12  6  | 13  2  |  8  7  | 16 14  |  3 11  |
|  2  9  |  8 18  | 20 12  | 14 15  |  6  1  |  7  4  | 17 19  | 10 13  |  3 11  | 16  5  |
| 13 11  |  2 12  |  3 10  |  1 17  | 14  5  | 20 18  | 16  9  | 15 19  |  6  7  |  4  8  |
|  5 18  | 14 15  | 17 13  | 10  7  |  8  3  | 16 19  |  1  6  | 11  4  |  2 12  |  9 20  |
|  8 10  | 11  4  | 16 15  |  6 20  | 13 12  | 14 17  |  7  3  |  2  9  |  5 18  |  1 19  |
| 16  4  |  9  6  | 11  2  |  3 12  | 20  7  |  8 13  |  5 15  |  1 18  | 19 17  | 10 14  |
|  7  6  |  1  5  |  4 19  | 11 16  | 17  9  |  3 15  | 18 10  | 14 20  | 13  8  |  2 12  |
| 19 20  | 16 13  | 14  6  |  2  5  | 11 15  |  9 10  |  8 12  |  3 17  |  1  4  | 18  7  |
---------------------------------------------------------------------------------------------------------------
