---------------------------------------------------------------------------------------------------------------
| 18  6  | 17  9  | 13  2  | 19 11  |  4 20  |  5 16  |  8  1  | 15 14  | 12  7  | 10  3  |
|  3 20  |  6 13  | 17 14  | 15 16  | 19  1  |  4 10  | 18  2  |  5  8  | 11  9  |  7 12  |
|  1 17  | 20 16  |  4 15  |  8 14  | 10  9  | 19 18  | 13 11  |  7 12  |  5  3  |  2  6  |
| 16 10  |  3  7  |  6  5  | 20  9  | 14 18  | 11  1  |  4 12  |  2 17  |  8 15  | 13 19  |
| 12  7  |  4 19  |  3 20  | 17  6  | 15 16  |  9  8  | 10  5  |  1 18  |  2 13  | 11 14  |
|  2  8  | 12 10  | 16  7  |  3  1  | 11  6  | 20 15  | 14 19  |  9 13  | 18 17  |  5  4  |
|  5  4  |  8  2  | 10  9  | 18 12  |  3 17  |  6 13  | 15  7  | 11 19  |  1 14  | 20 16  |
| 13 14  |  1  5  |  8 11  | 10  4  | 12  7  |  3  2  |  9 17  | 20  6  | 19 16  | 15 18  |
| 11 19  | 14 15  | 12 18  |  5  2  |  8 13  | 17  7  |  6 20  | 16  3  | 10  4  |  9  1  |
|  9 15  | 11 18  | 19  1  | 13  7  |  5  2  | 14 12  | 16  3  |  4 10  | 20  6  | 17  8  |
---------------------------------------------------------------------------------------------------------------
|  7 18  |  5  1  |  2 12  | 14  8  | 17 19  | 16 11  |  3 13  | 10 15  |  6 20  |  4  9  |
| 15  3  |  2 14  | 20 17  | 11  5  | 13 12  | 10 19  |  1  6  |  8  4  |  9 18  | 16  7  |
| 10  5  | 15  4  | 18  6  | 16 20  |  7  8  | 13 14  | 12  9  | 19  1  | 17  2  |  3 11  |
|  8 11  | 19 20  | 14  4  | 12 13  |  1 15  | 18  5  | 17 16  |  3  9  |  7 10  |  6  2  |
| 17  1  | 18  6  | 15 19  |  7  3  | 16 11  |  8  9  |  5 10  | 13  2  |  4 12  | 14 20  |
|  4 13  |  7  8  | 11 16  |  1 15  |  9 10  | 12  3  |  2 18  |  6 20  | 14  5  | 19 17  |
| 14 16  |  9 12  |  7 13  |  6 19  | 20  4  |  2 17  | 11 15  | 18  5  |  3  1  |  8 10  |
|  6 12  | 10 11  |  5  3  |  9 18  |  2 14  | 15  4  | 20  8  | 17  7  | 16 19  |  1 13  |
| 20  9  | 13 17  |  1  8  |  2 10  | 18  3  |  7  6  | 19  4  | 14 16  | 15 11  | 12  5  |
| 19  2  | 16  3  |  9 10  |  4 17  |  6  5  |  1 20  |  7 14  | 12 11  | 13  8  | 18 15  |
---------------------------------------------------------------------------------------------------------------
