---------------------------------------------------------------------------------------------------------------
|  4  5  | 13  8  | 17  9  | 11  6  | 19  1  | 14  3  | 16  2  | 15 18  | 20 12  |  7 10  |
|  3  6  | 15 11  | 12 20  |  9 14  | 10  7  |  1 17  | 13 18  |  2  5  |  4  8  | 19 16  |
| 14  1  | 18  3  |  7 19  |  2  5  |  9 11  | 12 15  |  6  8  | 13 16  | 10 17  |  4 20  |
| 10  2  |  1  4  |  6 14  | 17 12  |  8  5  |  7  9  | 20 11  |  3 19  | 16 15  | 13 18  |
| 13  9  | 10  7  |  1 15  |  4 16  | 14 17  | 18  6  |  3 12  |  8 20  |  5 19  |  2 11  |
| 20 18  |  2  6  |  4 13  |  7 15  | 12 16  | 19 11  |  1  9  | 17 10  |  3 14  |  5  8  |
|  7 17  | 14  9  | 18  5  |  3 10  | 13 20  | 16  8  | 15 19  | 12  4  |  2 11  |  6  1  |
|  8 19  | 17 20  |  2 16  | 18 13  |  3 15  |  5  4  |  7 10  | 11  9  |  6  1  | 12 14  |
| 16 11  |  5 12  |  8 10  | 20 19  |  6 18  | 13  2  | 17  4  |  1 14  |  9  7  |  3 15  |
| 12 15  | 16 19  | 11  3  |  1  8  |  4  2  | 10 20  |  5 14  |  6  7  | 13 18  | 17  9  |
---------------------------------------------------------------------------------------------------------------
|  6 12  |  9 10  | 15  7  |  5 11  | 18  8  |  4 13  |  2 16  | 19 17  |  1 20  | 14  3  |
|  9 16  |  6 14  | 20  8  | 13  2  |  1 12  |  3 10  | 18  7  |  5 15  | 19  4  | 11 17  |
|  5  7  | 12 18  |  9  6  |  8  3  |  2 10  | 20  1  | 11 17  |  4 13  | 14 16  | 15 19  |
| 18 14  |  4 16  | 19 11  |  6  7  |  5  9  |  8 12  | 10 15  | 20  2  | 17  3  |  1 13  |
| 17 10  | 11  5  | 16 12  | 15  4  |  7 14  |  2 18  | 19  1  |  9  3  |  8 13  | 20  6  |
| 11  3  | 20 13  | 14 18  | 16  9  | 17  4  |  6 19  |  8  5  |  7  1  | 15  2  | 10 12  |
| 15 20  | 19 17  |  3  4  | 12  1  | 11  6  |  9  7  | 14 13  | 10  8  | 18  5  | 16  2  |
| 19  8  |  3  1  |  5  2  | 14 20  | 15 13  | 17 16  |  4  6  | 18 12  | 11 10  |  9  7  |
|  2 13  |  8 15  | 10  1  | 19 17  | 16  3  | 11  5  | 12 20  | 14  6  |  7  9  | 18  4  |
|  1  4  |  7  2  | 13 17  | 10 18  | 20 19  | 15 14  |  9  3  | 16 11  | 12  6  |  8  5  |
---------------------------------------------------------------------------------------------------------------
