---------------------------------------------------------------------------------------------------------------
| 12 19  | 10 15  | 16  4  | 18  5  |  1  6  |  2  3  | 20 11  |  9 13  | 14  8  |  7 17  |
| 10 15  |  7  8  | 18 13  | 16 11  |  4  2  | 17  1  |  3 19  | 20 14  | 12  5  |  6  9  |
|  2 18  | 14  5  | 10  1  |  7 20  | 11 12  | 19  9  |  4 13  | 15 17  | 16  6  |  8  3  |
| 20 16  |  1  6  |  8 17  | 10  4  |  3 19  |  5 13  |  9 12  |  2 18  | 15  7  | 14 11  |
|  9  4  | 18 16  | 15  6  | 12 17  | 10  7  | 14 11  |  5  2  | 19  8  |  1  3  | 13 20  |
|  7  5  |  4 19  | 20 14  | 15  3  | 18 17  |  6 12  |  8 10  |  1 11  | 13  9  |  2 16  |
|  3 14  | 12 20  |  7  5  | 19  2  | 13  9  |  8  4  |  1 17  |  6 16  | 11 18  | 15 10  |
| 13 11  | 17  3  |  2 12  |  1  9  |  8  5  | 16 15  | 14  6  |  4  7  | 20 10  | 18 19  |
|  8  6  |  2 11  |  3  9  | 14 13  | 15 16  | 10 20  | 18  7  |  5 12  | 17 19  |  1  4  |
|  1 17  |  9 13  | 11 19  |  6  8  | 14 20  | 18  7  | 15 16  | 10  3  |  2  4  |  5 12  |
---------------------------------------------------------------------------------------------------------------
|  4  3  | 11 10  | 14 20  |  5 18  |  6  1  | 13 17  | 12  9  |  8  2  |  7 16  | 19 15  |
| 15 20  |  6 14  |  4 10  |  2  7  | 17 11  |  9  8  | 13  1  | 16 19  | 18 12  |  3  5  |
| 17  7  |  5 12  | 13  2  |  9 16  | 19 15  |  1  6  | 11  3  | 18 10  |  8 20  |  4 14  |
|  6 10  | 16 18  | 19 11  |  3 14  |  2 13  | 15  5  | 17  8  | 12  4  |  9  1  | 20  7  |
| 19  8  |  3  1  |  9 16  | 11 12  | 20 10  |  4  2  |  6 18  |  7 15  |  5 14  | 17 13  |
| 18  2  | 20  4  |  6  3  | 17 19  |  9 14  | 12 16  |  7  5  | 13  1  | 10 15  | 11  8  |
| 11  1  | 19  7  |  5 18  |  4  6  | 12  8  | 20 14  | 16 15  | 17  9  |  3 13  | 10  2  |
|  5 13  |  8  9  | 17 15  | 20  1  | 16  3  |  7 10  |  2  4  | 14  6  | 19 11  | 12 18  |
| 16 12  | 13 17  |  1  7  |  8 15  |  5 18  | 11 19  | 10 14  |  3 20  |  4  2  |  9  6  |
| 14  9  | 15  2  | 12  8  | 13 10  |  7  4  |  3 18  | 19 20  | 11  5  |  6 17  | 16  1  |
---------------------------------------------------------------------------------------------------------------
