---------------------------------------------------------------------------------------------------------------
|  7  1  |  3  2  |  8  9  | 15 14  | 13 10  | 18  6  | 12  4  |  5 11  | 16 19  | 17 20  |
|  2 15  | 10  9  | 12 11  |  4 16  | 18  3  | 17 13  |  7  1  |  6 20  | 14  5  | 19  8  |
| 13  4  |  7 15  |  2  3  | 10  9  | 14  1  | 11 19  | 17  6  | 12 16  | 20  8  |  5 18  |
| 16  9  | 13  1  | 17 18  | 12  8  |  6 15  | 14  4  |  5 20  |  7 19  | 11 10  |  3  2  |
|  5 11  |  4 16  | 15  7  |  2  6  |  9 20  | 10  3  | 13 19  |  8 17  | 12 18  | 14  1  |
|  6 17  | 11  8  |  1 20  |  3  5  |  2 19  | 12 16  | 18 14  | 13 10  |  7  9  | 15  4  |
| 12  3  | 19 17  | 10  4  | 11 13  |  5  8  |  2 20  | 16 15  | 18 14  |  6  1  |  7  9  |
| 14 10  |  5 12  | 13 19  | 20 18  | 16  7  |  8 15  |  3  2  |  9  1  | 17  4  | 11  6  |
|  8 18  | 14 20  | 16  6  | 19  1  |  4 17  |  7  5  | 11  9  | 15  3  | 13  2  | 12 10  |
| 20 19  | 18  6  |  5 14  | 17  7  | 12 11  |  1  9  |  8 10  |  2  4  |  3 15  | 16 13  |
---------------------------------------------------------------------------------------------------------------
|  3  7  | 20 18  | 14 16  |  5 12  | 17 13  |  6 10  | 19  8  |  4  2  |  1 11  |  9 15  |
| 15 12  | 17  3  | 18 13  |  6 19  | 10  5  | 16  2  |  9 11  |  1  7  |  8 20  |  4 14  |
|  9  6  |  2 11  |  3  5  |  8 20  | 15 18  | 19 17  |  1 16  | 10 12  |  4 14  | 13  7  |
| 19 16  |  8  7  | 20 15  |  9  3  |  1  6  |  5 12  |  4 13  | 14 18  | 10 17  |  2 11  |
| 10  8  |  6 14  |  9 12  | 16  4  | 11  2  | 15 18  | 20 17  |  3 13  | 19  7  |  1  5  |
| 18  5  |  1 19  | 11  8  | 13 10  |  7 12  |  4 14  |  2  3  | 17 15  |  9  6  | 20 16  |
|  1 20  | 12  4  |  7 17  | 14  2  | 19  9  | 13  8  | 10 18  | 11  5  | 15 16  |  6  3  |
|  4  2  | 15  5  |  6  1  |  7 17  |  8 16  |  3 11  | 14 12  | 20  9  | 18 13  | 10 19  |
| 11 14  |  9 13  | 19 10  |  1 15  |  3  4  | 20  7  |  6  5  | 16  8  |  2 12  | 18 17  |
| 17 13  | 16 10  |  4  2  | 18 11  | 20 14  |  9  1  | 15  7  | 19  6  |  5  3  |  8 12  |
---------------------------------------------------------------------------------------------------------------
