---------------------------------------------------------------------------------------------------------------
|  3 19  |  2 10  | 13  9  | 17 11  |  8  5  | 15 20  | 18 16  | 12  4  |  7  1  | 14  6  |
|  9  2  | 20 18  | 10  3  |  7 14  | 15 16  |  5 12  |  1  6  | 11 17  | 19 13  |  4  8  |
| 11 12  | 14  5  |  2  4  |  3  9  |  7 10  |  8 13  | 20 19  | 16  1  |  6 18  | 17 15  |
|  6  7  |  9 11  | 16  1  |  2  8  | 19 12  | 10 14  | 13 17  | 18 20  | 15  4  |  5  3  |
| 14 10  |  7  8  | 15 18  |  1  6  |  9  3  | 17  4  |  2 12  | 19 13  | 16  5  | 11 20  |
| 17  8  | 15  3  | 11 20  | 10  5  |  2  1  | 18 19  |  4 14  |  7  6  | 12  9  | 13 16  |
|  5  1  |  6 12  | 14 17  | 18 16  |  4 13  |  7  2  | 10 15  |  8  3  | 20 11  | 19  9  |
| 18 20  | 17 13  |  6  5  |  4 19  | 14 11  | 16  1  |  7  8  | 15  9  | 10  3  | 12  2  |
| 13 16  |  1  4  | 12 19  | 20 15  | 18  6  |  3  9  |  5 11  |  2 14  | 17  8  |  7 10  |
| 15  4  | 16 19  |  8  7  | 12 13  | 20 17  |  6 11  |  9  3  |  5 10  |  2 14  | 18  1  |
---------------------------------------------------------------------------------------------------------------
| 10  6  | 19 16  |  7 11  | 15 20  | 17  4  |  2  8  |  3  9  | 14 18  |  5 12  |  1 13  |
|  4 13  | 10  6  |  5 12  | 11  3  |  1 19  | 20 16  |  8 18  |  9 15  | 14  7  |  2 17  |
|  8 11  |  3 20  | 19  6  | 16 10  |  5  9  |  1 18  | 14  2  |  4  7  | 13 17  | 15 12  |
| 12  3  |  8  9  | 18 10  |  6  7  | 13 14  |  4  5  | 16  1  | 17  2  | 11 15  | 20 19  |
| 19 18  | 12  2  |  9 13  |  5 17  | 10 20  | 11  6  | 15  7  |  1  8  |  4 16  |  3 14  |
| 16  5  | 13  1  |  3  8  |  9 12  | 11  2  | 14 15  | 17  4  |  6 19  | 18 20  | 10  7  |
| 20 15  | 11  7  |  4 16  | 14  1  |  3  8  | 19 17  | 12 13  | 10  5  |  9  2  |  6 18  |
|  1 17  |  4 15  | 20 14  | 19  2  | 16 18  |  9  7  | 11 10  | 13 12  |  3  6  |  8  5  |
|  7 14  | 18 17  |  1  2  | 13  4  |  6 15  | 12  3  | 19  5  | 20 16  |  8 10  |  9 11  |
|  2  9  |  5 14  | 17 15  |  8 18  | 12  7  | 13 10  |  6 20  |  3 11  |  1 19  | 16  4  |
---------------------------------------------------------------------------------------------------------------
