---------------------------------------------------------------------------------------------------------------
| 16 18  |  8  6  |  3  4  |  7 14  | 19 13  | 12  1  | 17 10  | 11  9  | 20  2  |  5 15  |
|  8 19  | 10  2  | 17  5  |  4  6  | 12  9  | 13 16  |  3 11  | 18 15  |  1 14  |  7 20  |
|  4  6  | 18 14  |  9  7  | 11  1  | 16  5  | 19 20  | 13 12  |  8  3  | 17 15  |  2 10  |
| 10 13  | 17 12  |  8 19  |  2  9  |  4 11  |  5  7  | 16 15  | 20  1  |  3  6  | 14 18  |
| 11 14  | 16 15  | 10 20  | 13  5  |  7  6  | 18  2  |  1 19  | 12 17  |  8  9  |  3  4  |
|  9 12  | 19  4  | 16 14  | 15  3  |  8 18  | 17 11  |  5 20  |  6  2  | 10  7  |  1 13  |
| 20  2  | 11  3  | 12 15  | 10 16  | 14  1  |  8  9  |  7 18  | 19 13  |  5  4  |  6 17  |
|  3  1  |  9 20  | 11  2  |  8 12  | 17 15  |  4 10  |  6 14  |  7  5  | 13 18  | 16 19  |
| 17  5  |  1  7  | 18 13  | 20 19  |  3  2  | 15  6  |  9  4  | 10 14  | 11 16  |  8 12  |
| 15  7  |  5 13  |  1  6  | 17 18  | 10 20  |  3 14  |  2  8  | 16  4  | 19 12  |  9 11  |
---------------------------------------------------------------------------------------------------------------
|  2  4  | 20  5  | 15  1  | 19  7  | 13  8  |  6 18  | 10 16  |  9 11  | 14 17  | 12  3  |
| 18 15  |  2 16  | 19  9  |  1 17  | 11 10  | 14  8  | 12 13  |  3  7  |  6 20  |  4  5  |
|  1  3  | 14 19  |  7 11  |  6 13  | 20 12  | 16  5  | 18 17  |  2 10  |  4  8  | 15  9  |
| 14 16  |  4 11  | 13  3  |  9 15  |  1 17  |  2 12  | 19  6  |  5 20  |  7 10  | 18  8  |
| 13 20  | 15 18  |  2  8  |  3 10  |  6 19  | 11  4  | 14  7  |  1 12  |  9  5  | 17 16  |
| 12 17  |  3  1  |  4 16  | 18  2  |  9  7  | 20 13  | 11  5  | 14  8  | 15 19  | 10  6  |
|  5 11  | 12  8  | 20 18  | 14  4  |  2  3  | 10 19  | 15  9  | 17  6  | 16  1  | 13  7  |
| 19  9  |  7 17  |  6 10  |  5 11  | 18 14  |  1 15  |  8  3  |  4 16  | 12 13  | 20  2  |
|  7  8  |  6 10  |  5 17  | 12 20  | 15 16  |  9  3  |  4  1  | 13 18  |  2 11  | 19 14  |
|  6 10  | 13  9  | 14 12  | 16  8  |  5  4  |  7 17  | 20  2  | 15 19  | 18  3  | 11  1  |
---------------------------------------------------------------------------------------------------------------
