---------------------------------------------------------------------------------------------------------------
| 16 11  |  5 12  |  4 13  |  3 10  |  8 18  |  6  9  |  1 15  | 17 20  |  7 19  | 14  2  |
|  9 13  |  7 16  | 14 18  | 15  5  |  1  2  | 11  4  | 20 10  |  3  8  | 12  6  | 19 17  |
|  8 14  |  6  3  | 16  7  | 17  4  | 10 15  |  5  2  | 19 12  | 11  1  | 20 18  | 13  9  |
| 10 15  | 13  1  | 11  9  | 18  2  | 14 17  | 16  3  |  4  7  | 12 19  |  8  5  | 20  6  |
| 12  3  | 18 17  | 15  5  |  7 16  |  4 19  | 14 20  |  8 11  |  6  2  |  9 13  | 10  1  |
| 17  4  | 10 19  |  6 20  | 12  9  | 16  3  |  1 15  |  2  5  |  7 13  | 11 14  |  8 18  |
| 20 19  |  8  9  |  1 17  | 13  6  |  5 12  | 18 10  | 16 14  | 15  4  |  2  3  | 11  7  |
|  5  1  | 15 20  | 12  2  | 11 14  |  6  7  | 19  8  |  3 13  |  9 18  | 17 10  | 16  4  |
| 18  7  | 14  2  |  3 10  |  8 19  | 11 20  | 17 13  |  6  9  |  5 16  |  4  1  | 12 15  |
|  2  6  | 11  4  | 19  8  | 20  1  | 13  9  |  7 12  | 18 17  | 10 14  | 15 16  |  3  5  |
---------------------------------------------------------------------------------------------------------------
| 11  2  | 20  8  |  5 14  |  9 17  | 12 16  | 15  7  | 13 18  | 19  3  |  1  4  |  6 10  |
| 14 10  |  3  6  | 20 11  |  5 13  | 17  8  |  9  1  |  7  2  | 16 12  | 18 15  |  4 19  |
|  1 16  |  2 10  |  7  3  | 19  8  | 18  5  |  4 17  | 11 20  | 13  6  | 14  9  | 15 12  |
|  3 20  |  1 15  | 10 16  | 14 11  |  9 13  | 12 18  | 17  6  |  4  7  | 19  2  |  5  8  |
| 15  9  | 12 11  | 13  1  | 10  7  |  2  4  |  8 19  | 14 16  | 20  5  |  6 17  | 18  3  |
|  4 18  | 17  7  |  8 12  |  2  3  | 15 11  | 13  6  | 10 19  | 14  9  |  5 20  |  1 16  |
|  6 12  | 19  5  | 18  4  |  1 20  |  3 14  | 10 11  | 15  8  |  2 17  | 16  7  |  9 13  |
| 13  5  |  4 14  | 17 15  |  6 18  | 19 10  |  2 16  |  9  1  |  8 11  |  3 12  |  7 20  |
|  7  8  |  9 18  |  2 19  | 16 15  | 20  6  |  3  5  | 12  4  |  1 10  | 13 11  | 17 14  |
| 19 17  | 16 13  |  9  6  |  4 12  |  7  1  | 20 14  |  5  3  | 18 15  | 10  8  |  2 11  |
---------------------------------------------------------------------------------------------------------------
