---------------------------------------------------------------------------------------------------------------
| 15 17  | 10  9  |  5 18  |  2 16  |  8  3  | 20 14  | 13  7  |  4 11  | 19  6  | 12  1  |
|  5 16  | 17  7  |  6  8  | 14 20  |  2 10  | 12 11  | 19  9  | 15 18  |  3  1  | 13  4  |
| 13  7  | 15 20  | 19  4  |  6  8  | 12  5  |  9  3  | 11 17  | 10  1  | 18 14  |  2 16  |
| 20  3  |  2 14  | 17 15  |  9  5  |  6  7  | 18  4  |  8  1  | 13 12  | 10 16  | 19 11  |
| 11 18  |  4  6  |  7 14  | 15  3  | 17 13  |  2  1  | 12 20  | 19 16  |  8  5  | 10  9  |
| 14  8  |  3 18  | 20  1  |  7 19  | 15  9  | 13 10  |  4 16  |  2  5  | 11 12  |  6 17  |
| 19 10  | 13  1  | 16 12  | 17  4  | 18 11  |  5  8  |  3  2  |  9  6  | 15 20  | 14  7  |
| 12  1  | 19  5  | 10  3  | 13 11  |  4 20  |  7 16  |  6 15  | 14 17  |  9  2  | 18  8  |
|  6  4  |  8 11  |  9  2  | 12  1  | 16 14  | 15 19  | 18 10  | 20  7  | 13 17  |  5  3  |
|  9  2  | 16 12  | 13 11  | 10 18  | 19  1  | 17  6  | 14  5  |  8  3  |  7  4  | 20 15  |
---------------------------------------------------------------------------------------------------------------
| 10 13  |  6 17  |  4  7  |  5 15  |  3  8  | 14 20  | 16 18  |  1  2  | 12  9  | 11 19  |
|  8 20  | 12  4  |  1 10  | 19  7  |  9 18  | 11 17  |  2 14  | 16 13  |  6  3  | 15  5  |
|  1  5  |  7 19  |  8 17  |  3 10  | 20  6  | 16 15  |  9 12  | 11 14  |  2 18  |  4 13  |
| 18 12  | 20  2  | 14  6  | 11 17  |  5 16  |  1 13  | 15  3  |  7  9  |  4 19  |  8 10  |
|  2  6  | 18 10  | 11 20  |  1  9  | 14 15  | 19  7  | 17 13  |  3  4  |  5  8  | 16 12  |
| 17 15  |  9 16  | 12  5  |  4 14  |  1 19  |  3 18  | 10 11  |  6  8  | 20 13  |  7  2  |
| 16 14  | 11  3  |  2  9  | 18  6  | 13  4  | 10  5  |  7  8  | 12 19  |  1 15  | 17 20  |
|  3  9  | 14 13  | 15 19  | 20  2  | 11 17  |  8 12  |  5  4  | 18 10  | 16  7  |  1  6  |
|  4 11  |  1  8  | 18 13  | 16 12  |  7  2  |  6  9  | 20 19  |  5 15  | 17 10  |  3 14  |
|  7 19  |  5 15  |  3 16  |  8 13  | 10 12  |  4  2  |  1  6  | 17 20  | 14 11  |  9 18  |
---------------------------------------------------------------------------------------------------------------
