---------------------------------------------------------------------------------------------------------------
|  4 12  | 13 20  |  5 10  |  9 15  |  2 11  | 16 18  |  8  3  | 14  6  |  1 19  |  7 17  |
| 16  3  | 15  5  | 20  7  |  6 14  |  4 12  |  2 10  | 18 19  |  9 13  | 17 11  |  1  8  |
| 13 18  |  3 10  | 19 14  |  7  1  | 15  6  | 11 12  |  9 20  |  2 17  |  4  8  |  5 16  |
| 20 19  | 12 16  | 15  1  |  2  4  | 13 17  |  7  6  | 11 10  |  5  8  |  9 14  |  3 18  |
| 11  8  |  6  4  |  3 13  | 20 18  | 16  9  | 14  5  | 12 17  |  7  1  |  2 10  | 15 19  |
|  5 17  | 18  2  |  6 16  | 12 10  |  3  7  |  9  8  | 14  1  | 11 19  | 20 15  |  4 13  |
|  2 15  |  7 17  |  4 11  | 13  5  | 10  8  |  1 19  | 16  6  | 12 20  |  3 18  |  9 14  |
|  7  9  | 11 19  | 18 12  |  3  8  |  1 14  | 17 13  |  2  4  | 10 15  |  5 16  | 20  6  |
|  6 10  |  1 14  |  8  9  | 11 17  | 20 19  |  3  4  |  5 15  | 16 18  | 13  7  |  2 12  |
| 14  1  |  9  8  | 17  2  | 16 19  | 18  5  | 15 20  | 13  7  |  3  4  | 12  6  | 10 11  |
---------------------------------------------------------------------------------------------------------------
| 17  2  | 16 12  | 13  6  |  5  3  | 14  4  | 20  7  | 15 18  | 19  9  | 11  1  |  8 10  |
| 15  5  | 19 13  | 16 18  | 17 20  |  9  3  |  8  1  |  4 12  |  6 14  | 10  2  | 11  7  |
| 12  6  |  5 11  |  1 19  | 15 13  |  7 16  | 10  3  | 20 14  | 18  2  |  8  4  | 17  9  |
|  3 16  | 17  9  |  2  5  | 14  7  | 19  1  | 18 11  |  6  8  |  4 10  | 15 12  | 13 20  |
|  9 11  | 20 15  | 12 17  | 19 16  |  5 18  |  4  2  | 10 13  |  8  7  | 14  3  |  6  1  |
| 19 14  |  8 18  |  9 15  | 10 12  |  6  2  | 13 17  |  1 11  | 20  3  |  7  5  | 16  4  |
| 10 20  |  4  6  |  7  3  | 18  9  |  8 15  |  5 14  | 17 16  |  1 11  | 19 13  | 12  2  |
|  8 13  | 10  7  | 11  4  |  1  6  | 12 20  | 19 16  |  3  2  | 17  5  | 18  9  | 14 15  |
|  1  7  |  2  3  | 14  8  |  4 11  | 17 10  |  6 15  | 19  9  | 13 12  | 16 20  | 18  5  |
| 18  4  | 14  1  | 10 20  |  8  2  | 11 13  | 12  9  |  7  5  | 15 16  |  6 17  | 19  3  |
---------------------------------------------------------------------------------------------------------------
