---------------------------------------------------------------------------------------------------------------
|  8  2  | 11 16  |  6  9  | 18  3  |  5 20  | 13  7  |  1  4  | 14 10  | 15 19  | 12 17  |
| 14 13  |  2  7  | 19  5  | 17  9  |  1  4  | 20 12  | 16  3  |  6 15  | 10 11  | 18  8  |
|  7 20  | 14  1  | 18  4  | 13 10  |  9 17  |  8  3  | 15  6  |  2 19  | 12  5  | 11 16  |
| 16 18  | 13  6  |  7 11  |  5 15  | 10 19  |  4  9  | 14 17  |  3 12  |  2  8  | 20  1  |
|  4 15  | 10 12  | 16  1  |  6  7  | 13 18  |  5  2  |  9 20  | 11  8  |  3 17  | 19 14  |
| 19  1  | 20 18  |  2 13  | 16  8  |  7 15  | 11 17  | 12 10  |  5  4  | 14  6  |  3  9  |
|  9 17  | 15 19  |  3 14  |  1 11  |  6 12  | 18 16  |  5  8  | 20 13  |  4  7  | 10  2  |
| 11  6  |  9  3  | 15 10  | 19 12  | 16  8  |  1 14  | 13  2  | 17  7  | 20 18  |  4  5  |
| 12  5  |  4 17  | 20  8  | 14  2  | 11  3  |  6 10  | 18 19  | 16  9  | 13  1  | 15  7  |
|  3 10  |  5  8  | 12 17  |  4 20  |  2 14  | 19 15  | 11  7  | 18  1  |  9 16  | 13  6  |
---------------------------------------------------------------------------------------------------------------
| 10 14  | 16  9  |  5 19  |  7 13  |  3  2  | 17 11  |  4 18  |  8 20  |  6 15  |  1 12  |
|  1 19  | 12 10  | 17  2  |  9  5  | 15  7  | 16 18  | 20 11  |  4  6  |  8 13  | 14  3  |
| 13  8  | 19 20  |  9 12  |  3 17  |  4 16  |  2  1  | 10 15  |  7 11  |  5 14  |  6 18  |
|  5  4  |  7 13  | 14 16  | 12  6  |  8 11  | 15 19  | 17  9  | 10 18  |  1  3  |  2 20  |
| 18  9  |  3  5  | 13  6  | 10 19  | 17  1  |  7  4  |  2 16  | 12 14  | 11 20  |  8 15  |
|  6 11  | 18 15  |  8 20  |  2 14  | 19  9  | 10  5  |  3  1  | 13 17  | 16 12  |  7  4  |
| 20  7  | 17  4  | 10  3  | 11  1  | 12 13  | 14  8  |  6  5  | 15  2  | 18  9  | 16 19  |
| 15  3  |  1 14  |  4 18  |  8 16  | 20 10  | 12  6  | 19 13  |  9  5  |  7  2  | 17 11  |
|  2 16  |  8 11  |  1 15  | 20 18  | 14  6  |  9 13  |  7 12  | 19  3  | 17  4  |  5 10  |
| 17 12  |  6  2  | 11  7  | 15  4  | 18  5  |  3 20  |  8 14  |  1 16  | 19 10  |  9 13  |
---------------------------------------------------------------------------------------------------------------
