---------------------------------------------------------------------------------------------------------------
| 10  7  | 19 11  | 17  6  | 13 12  |  4 16  |  1 15  | 18  9  |  3  5  |  2 20  |  8 14  |
|  3  1  | 10  7  | 14  2  | 17  8  |  6 13  | 16 12  | 19 11  | 18  4  |  5 15  | 20  9  |
|  4 15  |  1  6  |  7 19  | 18  2  | 17 12  | 20 10  | 14  8  | 13 11  |  3  9  |  5 16  |
| 16  8  |  4 18  | 15 11  | 19 20  |  5  2  | 17 13  |  1  6  | 10  9  |  7 14  |  3 12  |
| 20  5  | 17  2  |  1 10  | 15  3  | 11 19  |  6  9  | 13  7  | 14  8  | 12 16  |  4 18  |
| 12  6  | 20  8  |  5  4  | 10  1  | 14  9  | 18 11  | 16  3  |  7  2  | 13 19  | 15 17  |
| 18 14  | 16  3  | 20  9  |  7 11  | 10 15  |  2 19  | 12  5  |  6 17  |  4  8  | 13  1  |
|  9 11  |  5 15  | 18 13  |  4 14  |  1 20  |  8  3  |  2 17  | 12 16  |  6 10  |  7 19  |
| 13 17  | 12 14  |  8 16  |  9  6  |  7  3  |  4  5  | 15 10  | 20 19  | 18  1  |  2 11  |
| 19  2  | 13  9  | 12  3  | 16  5  |  8 18  | 14  7  |  4 20  |  1 15  | 17 11  | 10  6  |
---------------------------------------------------------------------------------------------------------------
| 14  4  |  3 19  | 10  1  |  5 18  | 16  7  | 13  2  |  9 15  | 17  6  |  8 12  | 11 20  |
|  8 18  |  2 16  |  3 17  | 12 19  | 20  6  | 11  4  |  5 13  |  9 14  | 15  7  |  1 10  |
|  5  3  |  8 17  |  2 14  |  1 13  | 19  4  |  9 16  | 10 12  | 11  7  | 20  6  | 18 15  |
|  1 10  |  7  4  | 16  8  |  2  9  | 18 11  |  5 17  |  6 14  | 15 20  | 19 13  | 12  3  |
| 15 12  | 14  5  | 11 18  |  6 10  |  9  1  | 19 20  |  7  4  |  8 13  | 16  3  | 17  2  |
| 11 16  |  9 10  |  4 12  | 14 17  | 13  5  | 15  8  | 20 18  | 19  3  |  1  2  |  6  7  |
|  7 13  | 18 12  | 19  5  | 20 15  |  2 14  | 10  6  |  3 16  |  4  1  | 11 17  |  9  8  |
|  6 19  | 15  1  | 13 20  | 11  7  | 12 17  |  3 14  |  8  2  |  5 10  |  9 18  | 16  4  |
| 17 20  |  6 13  |  9 15  |  8 16  |  3 10  |  7 18  | 11  1  |  2 12  | 14  4  | 19  5  |
|  2  9  | 11 20  |  6  7  |  3  4  | 15  8  | 12  1  | 17 19  | 16 18  | 10  5  | 14 13  |
---------------------------------------------------------------------------------------------------------------
