---------------------------------------------------------------------------------------------------------------
|  4  8  |  9  3  |  7  6  | 13  5  | 17 20  | 16 18  | 11 12  |  1 14  | 19  2  | 10 15  |
| 17  1  |  7 12  |  8 10  |  4 16  |  5  9  | 20 15  |  3 14  | 19  2  |  6 13  | 11 18  |
| 18  5  |  8  2  |  3 14  |  7 12  | 16  4  | 13 17  | 19 15  |  6 20  | 11 10  |  1  9  |
|  7 19  | 11 16  | 15 18  | 14  6  | 13  1  | 12 10  | 20  4  |  8 17  |  9  5  |  3  2  |
| 16 14  |  1 18  |  2 12  |  8  9  |  6  7  |  5  3  | 13 10  | 15 11  | 17 20  | 19  4  |
| 11  9  |  5 19  | 16  1  | 15 17  | 12  8  |  6  4  |  2 18  | 13 10  |  7  3  | 20 14  |
| 15 13  |  4 10  |  9 20  |  3 18  | 14 19  | 11  2  |  6 17  | 12  5  |  1 16  |  8  7  |
|  3  2  | 14 20  | 11 13  | 19  1  | 15 10  |  8  9  |  5 16  |  4  7  | 12 18  | 17  6  |
|  6 10  | 13 15  | 19 17  |  2 20  |  3 11  |  7 14  |  9  1  | 16 18  |  4  8  | 12  5  |
| 20 12  | 17  6  |  5  4  | 11 10  | 18  2  |  1 19  |  8  7  |  3  9  | 15 14  | 13 16  |
---------------------------------------------------------------------------------------------------------------
|  8 20  |  6 11  | 18  9  | 16 14  |  4  5  |  2 13  | 12 19  | 17  3  | 10  7  | 15  1  |
|  9 11  | 12  5  | 13  2  | 17  8  | 20 14  |  4  6  |  1  3  |  7 19  | 16 15  | 18 10  |
| 19  7  |  2  9  | 12  5  |  6 11  |  1 18  | 15 16  |  4  8  | 10 13  |  3 17  | 14 20  |
| 12  4  | 16  8  | 14 11  |  1  7  |  9  6  |  3  5  | 10 13  | 20 15  | 18 19  |  2 17  |
|  5 18  | 15  7  | 17 19  | 10  2  | 11  3  |  9  1  | 16  6  | 14  8  | 20 12  |  4 13  |
| 14  6  | 10 13  | 20  7  | 18 19  |  2 16  | 17 12  | 15  5  | 11  1  |  8  4  |  9  3  |
| 13 16  | 20  4  | 10 15  | 12  3  | 19 17  | 14 11  |  7  9  | 18  6  |  2  1  |  5  8  |
|  2 15  | 19  1  |  6  3  |  9  4  | 10 13  | 18  8  | 17 20  |  5 16  | 14 11  |  7 12  |
|  1  3  | 18 17  |  4 16  | 20 13  |  8 15  | 10  7  | 14 11  |  2 12  |  5  9  |  6 19  |
| 10 17  |  3 14  |  1  8  |  5 15  |  7 12  | 19 20  | 18  2  |  9  4  | 13  6  | 16 11  |
---------------------------------------------------------------------------------------------------------------
