---------------------------------------------------------------------------------------------------------------
| 15  9  |  3 19  |  6 13  | 17  7  | 11  4  |  2 18  | 10 14  |  1  8  | 16  5  | 12 20  |
| 16  2  | 15 12  |  8 17  |  9 13  | 10 19  |  4 14  | 11 20  |  3  6  | 18  1  |  5  7  |
| 12 13  | 11 18  |  3  2  | 14 20  |  7  1  | 16  8  |  4 17  | 15  5  | 10  6  |  9 19  |
| 19  7  | 13  2  | 11 15  |  8 16  |  5 20  | 10  1  | 18  9  | 14  4  | 17 12  |  3  6  |
| 17 18  |  6  8  |  9  4  |  2 12  | 14  3  |  7 15  |  1  5  | 10 19  | 11 20  | 16 13  |
|  6  3  |  7 14  | 19 12  |  5  1  |  2 16  | 20 17  |  8 13  | 18 11  | 15  9  | 10  4  |
|  5 20  |  9 17  |  7 18  |  3 10  |  8 15  | 11 13  | 16  6  | 12  2  |  4 19  |  1 14  |
|  8  1  | 10 16  | 20  5  | 18  4  | 17 13  |  3  6  | 12 19  |  9  7  | 14  2  | 11 15  |
| 11 14  |  4  5  | 10  1  | 19 15  | 18  6  | 12  9  |  3  7  | 20 16  |  8 13  |  2 17  |
|  4 10  | 20  1  | 14 16  | 11  6  |  9 12  | 19  5  |  2 15  | 17 13  |  3  7  |  8 18  |
---------------------------------------------------------------------------------------------------------------
| 10 16  | 17  6  | 15 20  |  1  2  | 19 11  | 18  3  |  5  8  | 13 12  |  7  4  | 14  9  |
|  1 12  | 19 10  |  2 11  | 13 14  |  4 18  |  6 20  |  7  3  |  8 17  |  9 16  | 15  5  |
|  2 15  | 12  3  | 13 10  |  7  5  | 16  9  |  1 19  | 14 18  |  4 20  |  6  8  | 17 11  |
| 20 11  | 16  4  | 12 19  | 10 18  |  1  8  | 14  7  |  9  2  |  6 15  |  5 17  | 13  3  |
| 13  6  |  1 15  | 16  9  | 12 19  | 20  5  |  8 11  | 17  4  |  7 14  |  2  3  | 18 10  |
|  9  4  |  2 11  | 17  3  | 16  8  | 15  7  | 13 12  | 19 10  |  5 18  | 20 14  |  6  1  |
|  3 17  |  8 20  |  4  6  | 15  9  | 12 14  |  5 16  | 13  1  | 11 10  | 19 18  |  7  2  |
| 14  8  |  5 13  | 18  7  |  4 11  |  3 10  | 17  2  |  6 12  | 19  9  |  1 15  | 20 16  |
|  7  5  | 18  9  |  1 14  |  6 17  | 13  2  | 15  4  | 20 11  | 16  3  | 12 10  | 19  8  |
| 18 19  | 14  7  |  5  8  | 20  3  |  6 17  |  9 10  | 15 16  |  2  1  | 13 11  |  4 12  |
---------------------------------------------------------------------------------------------------------------
