---------------------------------------------------------------------------------------------------------------
|  2  5  |  1  8  |  4 18  | 17  6  |  9 13  | 19 11  |  3 16  | 10 20  | 14  7  | 15 12  |
|  3 16  | 11  9  | 14 13  |  4 15  | 20 12  |  5  1  | 18 19  | 17  7  |  8  2  | 10  6  |
| 14 18  |  7  6  |  5 16  | 20 13  |  4  1  |  8  3  | 11  9  | 19 15  | 10 12  |  2 17  |
| 20 10  |  5  3  |  9 11  | 14 16  | 15  6  | 13 18  |  2  1  |  8 12  | 17 19  |  7  4  |
|  1 12  | 14 20  |  6 19  |  7  2  | 17 16  |  4 15  | 13 10  |  3  9  | 18 11  |  8  5  |
|  4  6  | 10 16  |  3  2  |  1 12  | 11 19  |  7 14  |  8 17  | 18 13  |  5 15  | 20  9  |
| 17 13  |  4 18  | 20 10  | 19  8  | 14  2  | 16 12  |  7 15  | 11  5  |  6  9  |  1  3  |
| 11 19  | 13 15  |  7  1  | 10  9  |  3  8  | 17 20  |  5 12  |  6  2  |  4 16  | 18 14  |
|  9 15  | 17 19  | 12  8  |  3  5  |  7 18  |  2 10  | 20  6  |  4 14  | 13  1  | 11 16  |
|  8  7  | 12  2  | 17 15  | 11 18  | 10  5  |  6  9  |  4 14  |  1 16  |  3 20  | 19 13  |
---------------------------------------------------------------------------------------------------------------
| 19  3  |  2 13  |  8  4  | 12  7  | 18 17  | 15  6  |  1 20  |  9 11  | 16 14  |  5 10  |
|  7  4  | 19 11  | 10  9  |  6 17  | 13 14  |  1  8  | 12  3  | 20 18  | 15  5  | 16  2  |
|  6 17  | 20  1  | 19  3  | 15 10  |  8  9  | 14  5  | 16  2  | 12  4  | 11 18  | 13  7  |
| 16 14  |  3 10  |  1  5  |  2 11  | 19 15  |  9 17  |  6 18  |  7  8  | 12 13  |  4 20  |
| 15  8  | 16  4  | 11 17  |  5  1  |  2 20  |  3 13  |  9  7  | 14  6  | 19 10  | 12 18  |
|  5  2  |  8 14  | 15  6  | 16 20  | 12  7  | 18  4  | 17 11  | 13 10  |  1  3  |  9 19  |
| 18 20  |  6 17  | 16  7  |  8 14  |  5 11  | 12  2  | 10 13  | 15 19  |  9  4  |  3  1  |
| 13  9  | 15  7  |  2 12  | 18 19  |  6  3  | 10 16  | 14  4  |  5  1  | 20  8  | 17 11  |
| 12 11  |  9  5  | 18 14  | 13  4  |  1 10  | 20  7  | 19  8  | 16  3  |  2 17  |  6 15  |
| 10  1  | 18 12  | 13 20  |  9  3  | 16  4  | 11 19  | 15  5  |  2 17  |  7  6  | 14  8  |
---------------------------------------------------------------------------------------------------------------
