---------------------------------------------------------------------------------------------------------------
| 16  8  |  5 15  |  6 11  |  1 14  | 12 18  | 20 13  |  7  4  |  3 19  |  2 10  |  9 17  |
|  2  4  |  1 16  |  8  9  | 17 20  | 13  3  | 18 12  |  6 14  |  7 10  | 15 11  | 19  5  |
|  7 20  |  4 13  | 16 14  | 18 12  |  9  2  | 17 10  | 19 11  | 15  6  |  8  5  |  3  1  |
|  9  6  | 19 17  |  4  7  | 11 16  | 10 14  |  2  3  | 13 18  |  1  5  | 20 12  | 15  8  |
| 19 11  |  9 18  | 13  2  |  3  4  | 20 16  | 15 14  | 17  5  |  8 12  |  6  1  | 10  7  |
|  5  1  |  8 10  | 17 20  |  6 15  |  4  7  | 19  9  | 12  3  | 14 13  | 18 16  | 11  2  |
| 14 15  | 11  2  | 19  1  |  9 10  |  6 17  | 16  5  | 20  8  | 18  4  |  3  7  | 12 13  |
| 18 17  | 20 12  | 10  3  | 13 19  | 15  5  |  7  8  |  1 16  |  2 11  | 14  9  |  6  4  |
|  3 10  |  7 14  |  5 12  |  8  2  | 11  1  |  4  6  |  9 15  | 20 17  | 13 19  | 18 16  |
| 13 12  |  3  6  | 15 18  |  5  7  | 19  8  |  1 11  |  2 10  |  9 16  |  4 17  | 14 20  |
---------------------------------------------------------------------------------------------------------------
| 17  9  |  2  8  | 20 19  | 15 11  | 18 13  |  5  1  |  3 12  | 16 14  |  7  6  |  4 10  |
| 15 19  |  6  1  | 14  4  |  2 13  | 16 12  |  8 20  | 10  9  |  5  3  | 17 18  |  7 11  |
|  8  7  | 13  4  |  1  6  | 12 18  | 14 11  |  3 15  |  5 20  | 17  9  | 10  2  | 16 19  |
|  4 13  | 12 11  |  9  5  | 20 17  |  8 10  | 14  2  | 18 19  |  6  7  | 16  3  |  1 15  |
|  1  2  | 15  7  |  3 17  |  4  9  |  5 19  | 12 16  | 14 13  | 10 18  | 11 20  |  8  6  |
| 11  3  | 17  9  |  2 15  | 14  6  |  1 20  | 10 18  | 16  7  |  4  8  | 19 13  |  5 12  |
| 20 14  | 16  3  | 18 13  | 10  5  |  2  4  | 11  7  |  8  6  | 19  1  | 12 15  | 17  9  |
| 10 18  | 14 20  |  7 16  | 19  1  | 17  9  |  6  4  | 11  2  | 12 15  |  5  8  | 13  3  |
|  6  5  | 10 19  | 12  8  | 16  3  |  7 15  | 13 17  |  4  1  | 11  2  |  9 14  | 20 18  |
| 12 16  | 18  5  | 11 10  |  7  8  |  3  6  |  9 19  | 15 17  | 13 20  |  1  4  |  2 14  |
---------------------------------------------------------------------------------------------------------------
