---------------------------------------------------------------------------------------------------------------
| 19  6  | 11  7  |  8 20  |  5  2  | 13 15  |  1 14  | 18 12  | 10 16  | 17  3  |  4  9  |
| 20 10  | 17 18  |  1 12  | 13 14  |  9  2  |  8  5  | 15  7  |  3 11  | 16  4  | 19  6  |
| 16  8  |  2 14  | 17 15  | 19 12  |  5 11  | 13  7  |  6 10  | 18  4  |  9  1  |  3 20  |
| 11  7  | 19 20  | 18 16  |  8  1  |  6 10  |  2 12  |  4  3  |  9 17  | 15 14  |  5 13  |
| 18  3  |  1 13  |  7 11  | 20  6  | 14  8  | 15  4  |  5  9  | 12 19  | 10  2  | 17 16  |
|  2  4  | 10  3  | 19 14  | 18 11  | 20  1  | 17  9  |  8 16  | 15  5  |  6 13  | 12  7  |
| 14  9  | 15 16  |  2 10  |  7 17  | 18  4  |  3 11  | 19 13  |  6 20  |  5 12  |  8  1  |
| 15  5  | 12  9  |  6  3  | 16  4  |  7 19  | 20 18  | 14 17  | 13  1  | 11  8  | 10  2  |
| 12 13  |  8  4  |  9  5  | 10 15  | 17  3  |  6 16  |  1 11  |  7  2  | 20 19  | 18 14  |
| 17  1  |  6  5  | 13  4  |  9  3  | 16 12  | 10 19  |  2 20  |  8 14  |  7 18  | 15 11  |
---------------------------------------------------------------------------------------------------------------
|  1 11  | 16 15  |  3  8  | 17 13  | 19  6  | 14  2  | 10 18  |  4  9  | 12  7  | 20  5  |
|  8  2  |  3  6  | 16 13  | 15  7  | 11  9  |  4  1  | 20 19  | 17 10  | 18  5  | 14 12  |
|  4 20  |  7 10  |  5  1  |  3 16  |  2 13  |  9  6  | 12 15  | 19 18  | 14 17  | 11  8  |
| 13 15  | 18 17  | 11  7  |  1  5  | 12 14  | 16 20  |  9  4  |  2  8  | 19 10  |  6  3  |
|  9 19  | 13  1  | 12  2  | 11 20  |  3  7  | 18 10  | 17 14  |  5 15  |  8  6  | 16  4  |
| 10 14  | 20 11  |  4  6  | 12 18  |  1 17  | 19  8  |  7  5  | 16  3  |  2  9  | 13 15  |
|  7 12  |  9  8  | 10 17  |  6 19  | 15 20  |  5  3  | 16  1  | 14 13  |  4 11  |  2 18  |
|  3 16  |  4 12  | 20 18  | 14 10  |  8  5  |  7 17  | 13  2  | 11  6  |  1 15  |  9 19  |
|  6 18  |  5  2  | 14 19  |  4  9  | 10 16  | 11 15  |  3  8  |  1 12  | 13 20  |  7 17  |
|  5 17  | 14 19  | 15  9  |  2  8  |  4 18  | 12 13  | 11  6  | 20  7  |  3 16  |  1 10  |
---------------------------------------------------------------------------------------------------------------
