---------------------------------------------------------------------------------------------------------------
| 15  1  |  8 16  | 10 13  |  7  6  |  3 18  |  9 19  | 12  2  | 14 11  | 17  5  | 20  4  |
| 20  3  | 14  7  | 16  2  | 19  8  | 15 13  | 10  6  |  5  4  |  1 12  | 11  9  | 18 17  |
| 12  5  | 20 15  |  1 19  |  3 11  |  8 17  | 18 14  | 10  7  |  4  2  | 16 13  |  9  6  |
| 18 19  | 12  5  | 15 11  |  1 16  |  4 10  | 17 20  |  8  9  | 13  6  | 14  3  |  2  7  |
|  4 16  |  1  3  | 12  8  |  2 13  | 11  6  |  7 15  | 19 14  |  9 17  | 18 20  |  5 10  |
|  9 17  |  6  2  |  3 20  | 12 14  |  7  1  |  8 13  | 15 16  |  5 18  |  4 10  | 11 19  |
|  7 14  | 19 17  |  9 18  | 20  5  | 16  2  | 11  4  | 13  6  | 10  8  | 12 15  |  3  1  |
|  8  6  | 10  9  |  5 14  | 17  4  | 20 19  |  2 16  | 11 18  | 15  3  |  1  7  | 13 12  |
| 13 10  |  4 11  |  7 17  | 15 18  |  5  9  |  3 12  | 20  1  | 16 19  |  6  2  | 14  8  |
| 11  2  | 18 13  |  6  4  | 10  9  | 14 12  |  1  5  |  3 17  | 20  7  |  8 19  | 15 16  |
---------------------------------------------------------------------------------------------------------------
|  6 13  | 15 14  |  4  5  | 18  1  | 12  7  | 19  9  |  2  8  |  3 20  | 10 17  | 16 11  |
|  2 20  | 13 10  | 19 16  |  4  7  | 18  8  |  5  1  |  9 11  | 17 14  | 15 12  |  6  3  |
| 19  8  | 17 18  | 14  3  |  5  2  |  1 16  | 15  7  |  4 10  | 11 13  | 20  6  | 12  9  |
|  5  4  | 16  6  | 13  7  | 14 10  |  9 11  | 12  8  | 18 19  |  2 15  |  3  1  | 17 20  |
| 16  9  |  5 20  |  8 10  |  6 12  |  2  4  | 13 17  | 14  3  | 18  1  | 19 11  |  7 15  |
| 14  7  |  3  4  | 17  9  | 13 20  | 19 15  | 16 11  |  1 12  |  6  5  |  2  8  | 10 18  |
|  1 15  |  7  8  |  2  6  | 11 19  | 13  3  | 14 10  | 17 20  | 12 16  |  9 18  |  4  5  |
| 10 11  |  9  1  | 18 12  | 16 17  |  6  5  | 20  3  |  7 15  | 19  4  | 13 14  |  8  2  |
|  3 18  | 11 12  | 20  1  |  9 15  | 17 14  |  4  2  |  6  5  |  8 10  |  7 16  | 19 13  |
| 17 12  |  2 19  | 11 15  |  8  3  | 10 20  |  6 18  | 16 13  |  7  9  |  5  4  |  1 14  |
---------------------------------------------------------------------------------------------------------------
