---------------------------------------------------------------------------------------------------------------
|  8  1  | 12 11  | 13 19  |  2 17  |  7 20  |  6 10  |  3 15  | 18  9  | 16  4  | 14  5  |
|  2  7  | 20 10  | 14 18  | 19  3  | 16 17  | 12 11  |  5  6  | 15  1  |  8  9  |  4 13  |
|  3 12  |  2  6  | 20 17  | 14 11  | 10 13  |  7  4  |  1  8  |  5 16  | 18 15  |  9 19  |
|  6 13  |  7  5  | 12 11  | 20 15  |  8  4  | 16  3  | 10  9  | 17 14  |  1 19  | 18  2  |
| 16 18  | 13 17  |  7  1  |  4  9  | 19 14  | 20  5  | 12 11  | 10  6  |  3  2  |  8 15  |
|  9 14  | 18 16  | 10  4  | 12  8  | 11  6  | 19 15  | 17 20  |  3  2  |  5 13  |  1  7  |
| 17 15  |  9  4  |  2  6  | 13 18  | 12  5  | 14  1  |  7 16  | 19  8  | 10 11  |  3 20  |
| 19  5  |  8  3  | 16  9  |  6  7  |  1 15  | 17 13  | 18  2  | 11  4  | 14 20  | 10 12  |
| 10 11  | 15 14  |  3  5  | 16  1  |  2  9  | 18  8  | 19  4  | 20 13  | 12  7  |  6 17  |
|  4 20  |  1 19  |  8 15  | 10  5  |  3 18  |  2  9  | 14 13  | 12  7  |  6 17  | 16 11  |
---------------------------------------------------------------------------------------------------------------
|  5  6  | 16 15  | 17  3  |  1 13  | 14 12  | 11  7  |  2 18  |  9 10  | 19  8  | 20  4  |
| 13  8  |  6 20  | 19 16  |  3  4  |  5 10  |  9 14  | 11  7  |  1 17  |  2 12  | 15 18  |
| 14 19  |  3  9  | 11 12  |  5 20  |  4 16  | 13 17  |  6  1  |  8 15  |  7 18  |  2 10  |
|  1 17  | 14 13  |  6  2  | 18 19  | 20  3  |  4 16  |  9 10  |  7 11  | 15  5  | 12  8  |
| 18  2  |  5  8  | 15 14  | 17  6  | 13 19  |  1 20  | 16 12  |  4  3  | 11 10  |  7  9  |
|  7  3  | 19  1  |  5 10  |  9 16  | 18 11  |  8 12  | 15 17  |  2 20  |  4 14  | 13  6  |
| 15  4  | 17  2  | 18  7  | 11 14  |  6  8  | 10 19  | 20  3  | 13 12  |  9  1  |  5 16  |
| 12 10  |  4  7  |  9  8  | 15  2  | 17  1  |  3 18  | 13 19  | 16  5  | 20  6  | 11 14  |
| 20  9  | 11 12  |  1 13  |  8 10  | 15  7  |  5  2  |  4 14  |  6 18  | 17 16  | 19  3  |
| 11 16  | 10 18  |  4 20  |  7 12  |  9  2  | 15  6  |  8  5  | 14 19  | 13  3  | 17  1  |
---------------------------------------------------------------------------------------------------------------
