---------------------------------------------------------------------------------------------------------------
| 14  1  | 15  6  |  7  3  | 16  4  |  8 20  |  5 12  | 11 18  |  2 13  | 19 17  | 10  9  |
| 10 16  |  5 20  |  2 18  | 14 15  | 19 11  | 17  7  |  8  9  |  4 12  | 13  3  |  1  6  |
|  7 15  | 18 11  |  4  8  |  9 20  | 16 14  |  3 13  |  5 19  | 10  6  |  2  1  | 17 12  |
|  9  6  | 14 16  | 15  1  |  3  7  | 13  2  | 11 20  | 17 12  |  5  8  | 10  4  | 18 19  |
|  3 20  | 17  2  | 11  5  | 18  6  | 15  9  |  4  8  | 16 10  |  1 19  | 12 14  | 13  7  |
| 13  4  |  3  7  | 20  6  | 10 17  | 12  1  |  9 19  | 15 14  | 16 11  |  8 18  |  2  5  |
| 18  2  | 13 19  | 17 10  |  8 12  |  5  4  | 16 14  | 20  1  |  9 15  |  6  7  |  3 11  |
|  8 19  |  4  9  | 13 12  |  2  1  | 18  6  | 15 10  |  7  3  | 14 17  |  5 11  | 16 20  |
|  5 11  |  1 12  |  9 16  | 13 19  | 17 10  | 18  6  |  4  2  |  3  7  | 15 20  |  8 14  |
| 17 12  |  8 10  | 14 19  | 11  5  |  7  3  |  1  2  | 13  6  | 18 20  | 16  9  | 15  4  |
---------------------------------------------------------------------------------------------------------------
| 11  5  |  2 18  | 19  4  |  7 14  |  6  8  | 20  3  |  9 13  | 17 10  |  1 15  | 12 16  |
|  2 10  | 12  3  |  8  9  |  6 16  |  4 13  | 14 17  | 19 11  | 15  1  | 20  5  |  7 18  |
|  1 13  | 19  5  |  3 20  |  4  2  |  9 15  |  8 16  | 10  7  | 12 18  | 11  6  | 14 17  |
| 19  9  | 16  4  |  5 15  |  1 10  | 14  7  | 13 18  |  6 17  | 11  2  |  3 12  | 20  8  |
| 12 14  | 10  8  | 18  7  |  5 11  | 20 16  |  6 15  |  2  4  | 19  3  | 17 13  |  9  1  |
| 16 17  | 20 14  | 10  2  | 15 13  |  1 18  | 19 11  | 12  5  |  6  9  |  7  8  |  4  3  |
| 15  8  | 11 17  |  6 13  | 20  9  |  3 19  | 12  1  | 18 16  |  7 14  |  4 10  |  5  2  |
|  4 18  |  9 13  |  1 11  | 12  8  |  2 17  |  7  5  |  3 15  | 20 16  | 14 19  |  6 10  |
|  6  3  |  7 15  | 16 14  | 17 18  | 11 12  | 10  4  |  1 20  |  8  5  |  9  2  | 19 13  |
| 20  7  |  6  1  | 12 17  | 19  3  | 10  5  |  2  9  | 14  8  | 13  4  | 18 16  | 11 15  |
---------------------------------------------------------------------------------------------------------------
