---------------------------------------------------------------------------------------------------------------
| 11  9  | 18  7  |  1  4  | 13  3  | 12 14  | 16  6  |  2 19  |  5  8  | 17 20  | 15 10  |
|  4 16  | 11  8  | 20  7  | 19  6  |  3  2  | 14 15  |  5 17  | 10  9  | 18  1  | 12 13  |
|  6 15  |  9  1  | 17  2  |  4 12  | 13  8  |  5 18  | 14  3  | 19 11  | 16 10  | 20  7  |
|  8  1  |  4 15  | 19 10  | 20  7  | 17 18  |  2  9  | 16 12  | 14 13  |  5 11  |  6  3  |
|  7 14  | 10 17  |  8 16  |  2 15  |  4 19  | 11  1  |  6 13  |  3 20  |  9 12  |  5 18  |
|  2  3  | 12 13  |  9 11  |  8 17  |  7  5  | 20 19  |  1 10  | 16 18  | 15  6  | 14  4  |
| 18 17  |  2  6  | 15 12  | 11  5  | 16 10  |  3 13  |  8 20  |  7  1  | 14  4  |  9 19  |
| 19 10  |  3 16  | 13  5  |  1 14  | 20  6  |  8 12  | 18  9  |  4 15  |  7  2  | 11 17  |
| 13 20  | 19  5  | 18 14  | 16 10  |  9 15  | 17  4  |  7 11  | 12  6  |  8  3  |  2  1  |
|  5 12  | 20 14  |  6  3  |  9 18  |  1 11  |  7 10  | 15  4  |  2 17  | 19 13  | 16  8  |
---------------------------------------------------------------------------------------------------------------
| 10  6  | 15 19  |  5  1  | 17  8  | 18  9  |  4  7  | 13  2  | 11 12  | 20 14  |  3 16  |
|  3  4  |  7 10  |  2 13  | 15 19  |  5 17  |  6 14  | 20 18  |  8 16  | 12  9  |  1 11  |
| 15 18  | 16  2  |  7  9  | 14 11  | 19 20  | 12 17  |  4  6  | 13  3  |  1  8  | 10  5  |
|  1  2  | 17 18  |  4 15  |  7  9  | 14 13  | 19 11  | 12  5  |  6 10  |  3 16  |  8 20  |
|  9 11  |  6  3  | 10 19  | 18  2  | 15  1  | 13 16  | 17  8  | 20 14  |  4  5  |  7 12  |
| 12  5  | 13  4  | 16  6  | 10 20  |  2  7  | 15  8  |  3 14  |  1 19  | 11 17  | 18  9  |
| 17  8  |  5 11  |  3 18  |  6  1  | 10 12  |  9 20  | 19 16  | 15  4  |  2  7  | 13 14  |
| 20 13  |  1 12  | 14 17  |  3  4  |  8 16  | 10  5  | 11 15  |  9  7  |  6 18  | 19  2  |
| 16 19  | 14 20  | 12  8  |  5 13  | 11  4  |  1  3  |  9  7  | 18  2  | 10 15  | 17  6  |
| 14  7  |  8  9  | 11 20  | 12 16  |  6  3  | 18  2  | 10  1  | 17  5  | 13 19  |  4 15  |
---------------------------------------------------------------------------------------------------------------
