---------------------------------------------------------------------------------------------------------------
|  9 14  | 15 17  |  3 19  |  6 18  |  2 11  | 16  7  |  5 12  | 13  8  | 20  4  |  1 10  |
|  5 12  |  2  4  | 17 13  |  8  3  | 18 19  | 11  1  | 16  9  | 15  7  |  6 10  | 20 14  |
|  3  8  |  1 10  | 20 12  | 13  9  |  7  5  | 15 14  | 19 17  | 16  4  |  2 18  |  6 11  |
|  6 18  | 11  9  |  1  7  |  5 20  |  8 13  | 19 10  | 15  2  | 12 14  | 17  3  | 16  4  |
|  4  1  |  3 12  | 18  6  |  7 19  | 20 15  |  2 13  | 10  8  |  9 11  | 16 14  |  5 17  |
| 10 17  | 14  6  |  9  2  | 12 11  |  4 16  | 18 20  | 13  1  | 19  5  |  8 15  |  3  7  |
| 19 11  |  5  7  | 14  4  | 10 16  |  1  9  |  8 17  | 20 18  |  6  3  | 13 12  | 15  2  |
| 20 16  |  8 19  | 10  5  |  1 15  | 12 14  |  9  4  |  6  3  |  2 17  | 11  7  | 13 18  |
| 13  2  | 20 16  | 11 15  | 17  4  | 10  6  |  5  3  |  7 14  |  1 18  | 19  9  |  8 12  |
|  7 15  | 13 18  |  8 16  | 14  2  | 17  3  | 12  6  |  4 11  | 20 10  |  1  5  |  9 19  |
---------------------------------------------------------------------------------------------------------------
| 11  4  | 12 15  |  5  9  | 18 13  | 14  1  | 17  2  |  8 10  |  7 20  |  3 16  | 19  6  |
| 15  3  | 19  1  | 12 18  | 11 17  | 16  7  | 20  8  | 14 13  |  5  2  | 10  6  |  4  9  |
| 14  6  | 17  3  |  7 11  |  4  1  |  5 20  | 10 19  | 18 16  |  8 13  |  9  2  | 12 15  |
|  8 20  |  4 14  | 19 17  | 15 12  | 13 18  |  6 16  |  1  7  | 10  9  |  5 11  |  2  3  |
| 12 13  | 16 20  | 15  3  |  2  6  | 19 17  | 14 18  |  9  4  | 11  1  |  7  8  | 10  5  |
| 16 19  |  6 13  |  4 14  |  9  7  |  3 10  |  1 11  |  2  5  | 18 12  | 15 20  | 17  8  |
| 17  5  | 10  2  |  6 20  |  3 14  | 11  8  | 13  9  | 12 19  |  4 15  | 18  1  |  7 16  |
|  2  7  | 18  8  | 13 10  | 20  5  |  9 12  |  3 15  | 17  6  | 14 16  |  4 19  | 11  1  |
| 18 10  |  9 11  |  2  1  | 16  8  |  6  4  |  7  5  |  3 15  | 17 19  | 12 13  | 14 20  |
|  1  9  |  7  5  | 16  8  | 19 10  | 15  2  |  4 12  | 11 20  |  3  6  | 14 17  | 18 13  |
---------------------------------------------------------------------------------------------------------------
